fixed_y_n,id,species,alternate_nomenclature,category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,x41,clean_zone,kingdom,phylum,class,subclass,order,family,genus
not in WORMS,1471,Oedoparena glauca,NA,insect,fly,NA,NA,larvae,NA,NA,present,Light & Smith,all,predator during its larval stages on the barnacle Balanusglandula and species of Chthamalus.,solitary,mobile,NA,parasite,generalist,NA,NA,NA,NA,NA,Balanus and Cthamalus adults,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
not in WORMS,1472,Oedoparena glauca,NA,insect,fly,NA,NA,adult,NA,NA,present,Light & Smith,all,Endocladia-Balanus association,solitary,mobile,diatoms,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1858,Omalogyra sp.,NA,snail,NA,NA,Columbia River to Point Conception,adult,1,N,present,Light & Smith,low,"in low, rocky intertidal on algae on which egg capsules are deposited",solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,1859,Omalogyra sp.,NA,snail,NA,NA,Columbia River to Point Conception,eggs,NA,N,present,Light & Smith,low,algae,aggregating,sessile,NA,non-feeding life stage,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Onoba mighelsii,1808,Onoba dinora,NA,microsnail,NA,NA,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,can be collected by screening algae and eelgrass and by taking sand and gravel,solitary,mobile,diatoms and microalgal films.,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Opalia wroblewskyi,254,Opalia borealis,Opalia wroblewskyi; Opalia chacei,snail,Chace's wentletrap,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",high,"under rocks, more often with anemones, little known but probably like E. tinctum",solitary,mobile,"Anthopleura elegantissima, maybe more",micropredator,specialist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
Ophiopholis aculeata,160,Ophiopolus aculeata,NA,brittle star,Daisy brittle star,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie",low,NA,solitary,mobile,NA,deposit feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
not in WORMS,582,Orchitophyra stellarum,NA,ciliate,NA,NA,NA,NA,NA,Both,common,NA,low to high,on asteroids,aggregating,mobile,asteroids,parasite,facultative generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,5,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Orchomenella recondita,1360,Orchomenella recóndita,NA,gammarid,NA,NA,Oregon to Santa Cruz Island,adult,4,N,present,Light & Smith,all,"Commensal in the gut of the sea anemone Anthopleura elegantissima,",solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),536,Pachycheles holosericus,NA,porcelain crab,porcelain crab,NA,NA,adult,NA,S,fairly common,"Morris, Abbott, & Haderlie; Light & Smith",very low,"under stones, sponge cavities, kelp holdfasts",solitary,mobile,NA,filter feeder,NA,NA,sponges,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,fix,NA,NA,NA,NA,very low,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),535,Pachycheles rudis,NA,porcelain crab,thick clawed porcelain crab,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,"under stones, in holdfasts, beneath eelgrass root mats, sponge cavities, empty pholad burrows, mussel beds",paired,mobile,"detritus, plankton",filter feeder,generalist,NA,NA,NA,Aporobopyrus muguensis,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Pachythyone rubra,157,Pachythone rubra,NA,cucumber,NA,NA,Monterey to Los Angeles,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,"holdfasts, seagrass beds",solitary,mobile,NA,deposit feeder,NA,NA,NA,NA,NA,NA,NA,NA,broods eggs,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,1265,Pagurapseudidae,NA,tanaeid,NA,NA,"Pacific Grove, CA",adult,NA,N,present,Light & Smith,low,"occupying small snail shells among holdfasts of red algae, low intertidal zone on rocky shores protected from strong surf; red algae in the lower intertidal at Hopkins Marine Station in 1967 ""in shells of Barleeia and other gastropods",solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Family,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one,1608,Palola paloloides,NA,polychaete,NA,NA,Southern California,adult,NA,S,present,Light & Smith,all,shallow rocky habitats,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Pantinonemertes californiensis,1727,Pantinonemertes califomiensis,NA,nemertean,ribbon worm,NA,"Washington to Huntington Beach, southern California",adult,450,Both,present,Light & Smith,high,"High intertidal and supralittoral; under logs and stones that have been in place a long time, often covered with Zostera wrack",solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
Cymadusa uncinata,1298,Paragrubia uncinata,NA,gammarid,NA,NA,NA,adult,35,NA,present,Light & Smith,very low,"Rolls blades of kelp Macrocystis pyrifera into cigar-shaped tubes, occurs also among Phyllospadix;",solitary,mobile,NA,parasite,generalist,NA,NA,NA,NA,NA,Macrocystis pyrifera,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,very low,NA,NA,NA,NA,NA,NA,NA
not in WORMS,580,Paraphrosylus praedator,Aphrosylus praedator,insect,long legged fly,NA,NA,adult,NA,N,present,"Morris, Abbott, & Haderlie; Light & Smith",high to middle,on algae,solitary,mobile,"""larval and adult chironimid flies, other small insect, small crustaceas"", Smittia sp.",typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one,993,Parapinnixa affinis,NA,true crab,NA,NA,NA,adult,NA,S,rare,Light & Smith,low,in tubeworms,solitary,mobile,NA,NA,NA,NA,"Terebella californica, Loimia",NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,12:44.9,low,NA,NA,NA,NA,NA,NA,NA
Parviplana californica,2054,Parviplana califomica,NA,turbellarian,NA,NA,Oregon to California,adult,NA,N,present,Light & Smith,all,Rocky intertidal among sponges and bryozoans.,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Pareurythoe californica,431,Paryeurythoe californica,NA,polychaete,fire worm,NA,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie",low,in sand under rocks,solitary,mobile,"""sedentary invertebrates""",typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,unsure if should included,Taxonomic,Species,2,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),439,Pectinaria californiensis,NA,polychaete,terebellid tubeworm,NA,NA,adult,NA,NA,present,"Morris, Abbott, & Haderlie",very low,solitary tube of sand grains projecting from subtratum,solitary,sessile,detritus,filter feeder,generalist,NA,"Pinnixia sp., Halosydna brevisetosa, Lepidasthenia sp.",NA,NA,NA,NA,NA,NA,Taxonomic,Species,4,fix,NA,NA,NA,NA,very low,NA,NA,NA,NA,NA,NA,NA
as is,1102,Peltidium sp.,NA,copepod,NA,zooplankton,"Mendocino County, CA",adult,NA,NA,present,Light & Smith,all,on macroalgae and eelgrass blades,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Petricola carditoides,380,Petricola caritoides,NA,clam,NA,NA,NA,adult,NA,Both,fairly common,"Morris, Abbott, & Haderlie; Light & Smith",low,crevices and empty pholad burrows,solitary,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),528,Petrolisthes rathbunae,NA,porcelain crab,porcelain crab,NA,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie",low,under stones,solitary,mobile,NA,filter feeder,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,fix,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Photis californica,1287,Photis califomica,NA,gammarid,NA,NA,NA,adult,6,NA,present,Light & Smith,low,Among Phyllospadix and on open coast rocky shores;,solitary,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
not in WORMS,1530,Phyconomus marinus,NA,insect,NA,NA,California,adult,NA,NA,unclear,Light & Smith,high,Under algae and driftwood,solitary,mobile,fungus,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),1560,Phyllodoce groenlandica,NA,polychaete,NA,NA,Arctic-boreal,adult,NA,N,unclear,Light & Smith,all,NA,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Phyllopodopsyllus borutskyi,1108,Phyllopodopsyllus borutzkyi,NA,copepod,NA,zooplankton,NA,adult,NA,N,present,Light & Smith,all,tidepool algae DB,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Plagiostomum abboti�,2040,Plagiostomum abbotti,NA,turbellarian,NA,NA,"Pacific Grove, CA",adult,NA,N,present,Light & Smith,all,"seaweed, stones, gravel in tide pool",solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,single record?,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Pododesmus foliatus,1964,Pododesmus pernoides,NA,jingle,NA,NA,Columbia River to Point Conception,adult,NA,N,very rare,Light & Smith,all,generally attached to the shells of other mollusks.,solitary,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Polycirrus californicus,1666,Polycirrus califomicus,NA,polychaete,NA,NA,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,in sandy and rocky areas;,solitary,sessile,NA,deposit feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1667,Polycirrus spp.,NA,polychaete,NA,NA,Columbia River to Point Conception,adult,NA,N,common,Light & Smith,all,Common in rocky habitats and also in mud in tires and other habitats on floats and docks,solitary,sessile,NA,deposit feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one,1636,Polydora bioccipitalis,NA,polychaete,NA,NA,"southern California, Chile.",adult,NA,S,present,Light & Smith,all,in hermit crab shells,solitary,mobile,NA,unknown,generalist,NA,in hermit crab shells,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one,1639,Polydora pygidialis,NA,polychaete,NA,NA,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,borer in mollusk shells and ectoprocts,solitary,mobile,NA,unknown,generalist,NA,borer in mollusk shells and ectoprocts,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Pomaulax gibberosus,243,Pomaulax gibberosa,Astraea gibberosa; Pomaulax gibberosus,topsnail,red turban snail,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie",low,usually subtidal in CA,solitary,mobile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Porcellidium fimbriatum,1103,Porcellidium flmbriatum,NA,copepod,NA,zooplankton,"Washington to La Jolla, CA",adult,NA,Both,present,Light & Smith,all,on algae,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Pseudopotamilla occelata,443,Potamilla occelata,NA,polychaete,feather duster worm,NA,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie",low,tough membranous tube in dense clusters,aggregating,sessile,NA,filter feeder,generalist,NA,NA,Proboscidactyla circumsabella,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Protohyale (Protohyale) frequens,609,Prohyale frequens,Hyale frequens,gammarid,NA,NA,NA,adult,10mm,S,abundant,Amphipoda of the Northeast Pacific; Light & Smith,all,tidepools and kelp holdfasts; particularly abundant among Phyllospadix roots and coralline algae of open and semiprotected coasts;,solitary,mobile,NA,NA,NA,"Oligocottus maculosus, Oligocottus snyderi",NA,NA,NA,NA,NA,NA,Washington??,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Protohyale (Leptohyale) longipalpa,1338,Protohyale longipalpa,NA,gammarid,NA,NA,NA,adult,8.5,NA,present,Light & Smith,all,Among algae in semiprotected areas,solitary,mobile,NA,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Protolaeospira (Protolaeospira) eximia,1691,Protolaeospira eximia,NA,spirorbid polychaete,NA,NA,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,"Attaches to hard surfaces including wood, shells, and stones; found intermixed with Simplaria potswaldi or Circeis armoricana",solitary,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Hylocelis californica,115,Pseudoallioplana californica,Allioplana californica,flatworm,NA,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",high,Abundant under boulders on gravel and in crevices at mean tide and above. Snails?,solitary,mobile,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
,1678,Pseudopotamilla occelata,NA,polychaete,NA,NA,Columbia River to Point Conception,adult,NA,N,common,Light & Smith,all,"Rocky habitats, open coast",solitary,sessile,NA,filter feeder,generalist,NA,"occasionally with small, commensal, two-tentacled hydroid Proboscidactyla on rims.",NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1677,Pseudopotamilla sp.,NA,polychaete,NA,NA,Columbia River to Point Conception,adult,NA,N,rare,Light & Smith,all,Rocky or mixed bottoms,solitary,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Pseudostomum californicum,2044,Pseudostomum califomicum,NA,turbellarian,NA,NA,"Tomales Bay, CA and Pacific Grove, CA",adult,NA,N,common,Light & Smith,all,"among stones and gravel with Polychoerus carmelensis, among a ""mosslike covering"" of Ulva",solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Cribrilaria californiensis,836,Puellina californiensis,"(Cribrilaria) californiensis; =PueIlina setosa of Osburn, 1950, in part; Colletosia radiata form innominata: Osburn 1950, in part; Colletosia radiata of J. Soule 1959",bryozoan,NA,NA,"Channel Islands, Gulf of California",adult,2 - 200,S,present,Light & Smith,low,"encrusting rock, shell; warmer California waters",colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Cribrilaria perplexa,837,Puellina perplexa,(Cribrilaria?) perplexa; Colletosia radiata form innominata of Osburn 1950,bryozoan,NA,NA,"? British Columbia to southern California, ? Galapagos Islands, ? Peru",adult,2 - 200,Both,present,Light & Smith,low,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
deleted,1787,Pupillaria rhodia,NA,topsnail,NA,NA,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,middle to low,Offshore rocky bottoms,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
Margarites salmoneus,1786,Pupillaria salmonea,NA,topsnail,NA,NA,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,low,On and under surfaces of rocks,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Pycnopodia helianthoides,152,Pycnopodia heliathoides,NA,asteroid,sunflower star,NA,NA,adult,NA,N,rare,"Morris, Abbott, & Haderlie",low,uncommon since SSWD,solitary,mobile,Cucumaria pseudocurata,typical predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Turbonilla tenuicula,1869,Pyrgiscus tenuicula,NA,snail,NA,NA,"Monterey, CA to South",adult,NA,Both,unclear,Light & Smith,all,"ectoparasitic on invertebrate hosts, in general",solitary,mobile,NA,parasite,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one,1029,Radimella aurita,NA,ostracod,NA,zooplankton,"Santa Cruz, CA to Baja California",adult,NA,Both,NA,Light & Smith,all,"On calcareous algae in tide pool and on holdfasts of Macrocystis, outside Hopkins Marine Station on Monterey Bay, near Pacific Grove; also on kelp near shore and on eelgrass in Carmel Bay",aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Ramex californiensis,1668,Ramex califomiensis,NA,polychaete,NA,NA,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,Rocky habitats on exposed outer coast.,solitary,sessile,NA,deposit feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Lineus sanguineus,1717,Ramphogordius sanguineus,NA,nemertean,ribbon worm,NA,Washington to California,adult,NA,Both,common,Light & Smith,high to middle,"especially above mid-intertidal, to high marsh tide pools. Among algae and other surface cover, on rocks exposed to surf, also under rocks on sand and mud",solitary,mobile,"dead shrimp, minced clams, etc., in laboratory conditions and also on polychaetes, oligochaetes",carnivore (scavenger + predator),generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
Raymondcia osburni,880,Raymondcia osbumi,NA,bryozoan,NA,NA,"Channel Islands, may range from Alaska to California, ? Galapagos Islands",adult,2 - 200,Both,present,Light & Smith,all,"on rock, shell",colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Figularia hilli,838,Reginella (Figularia) hilli,NA,bryozoan,NA,NA,"Monterey Bay, Channel Islands; Baja California;",adult,2 - 200,Both,present,Light & Smith,all,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Jullienula hippocrepis,839,Reginella (Jullienula) hippocrepis,"Lyrula hippocrepis of Osburn, 1950; =Cribrilina hippocrepis).",bryozoan,NA,NA,Alaska to southern California,adult,2 - 200,Both,present,Light & Smith,low,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Reginella furcata,840,Reginella (Reginella) furcata,NA,bryozoan,NA,NA,British Columbia to San Benito Islands off Baja California,adult,2 - 200,Both,present,Light & Smith,low,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Reginella nitida,841,Reginella (Reginella) nitida,NA,bryozoan,NA,NA,Puget Sound to San Benito Islands off Baja California,adult,2 - 200,Both,present,Light & Smith,low,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,1461,Rhombognathus spp.,NA,mite,NA,NA,NA,adult,0.18-2,NA,unclear,Light & Smith,all,NA,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1857,Rissoella sp.,NA,snail,NA,NA,"Carmel, CA",adult,1,N,present,Light & Smith,all,From tide pool micromollusk sampling,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Ritterella rubra,904,Riterella rubra,NA,tunicate,NA,NA,"Queen Charlotte Islands, Monterey Bay, CA",adult,NA,N,present,Light & Smith,low,"under rocks, caves, zone 4",colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,gregarines,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,12:44.9,low,NA,NA,NA,NA,NA,NA,NA
as is,1475,Sarcophagid flies,NA,insect,carrion fly,NA,NA,adult,NA,NA,uncommon,Light & Smith,all,Large scavenger flies that may occasionally enter the intertidal zone.,solitary,mobile,NA,scavenger,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Family,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,927,Sarsia sp.,NA,plankton,NA,NA,not reported,medusa,NA,Both,NA,Light & Smith,all,NA,solitary,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,"represent many unidentified species ""in our area""",Taxonomic,Genus,NA,NA,NA,NA,NA,12:44.9,all,NA,NA,NA,NA,NA,NA,NA
as is,767,Sarsia sp.,NA,hydroid,NA,NA,NA,hydroid,NA,Both,present,Light & Smith,all,pools,colonial,sessile,NA,filter feeder,generalist,Doto sp.,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Schizoporella unicornis,132,Schizporella unicornis,NA,bryozoan,NA,NA,NA,adult,NA,both,common,"Morris, Abbott, & Haderlie",low,NA,colonial,sessile,NA,filter feeder,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),1620,Scoloplos acmeceps,NA,polychaete,NA,NA,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,"In mud, algal holdfasts, roots of Zostera",solitary,mobile,NA,deposit feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Scrupocellaria califomica,824,Scrupocellaria cf. califomica,NA,bryozoan,NA,NA,"eported from British Columbia, common in central California, Baja California",adult,2 - 200,Both,present,Light & Smith,low,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Solaster dawsoni,146,Solaster dawsonii,NA,asteroid,sun star,NA,NA,adult,NA,N,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,NA,solitary,mobile,"other sea stars, Cucumaria lubrica (subtidal), Eupentacta quinquesemita, Solaster stimpsoni",typical predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,1177,Sphiophanicolid copepods,NA,copepod,NA,invertebrate endoparasite,NA,adult,NA,NA,present,Light & Smith,all,"Unidentified species in this family have been found in the nudibranch genera Dendronotus, Dirona, Eubranchus, and Triopha in the northeastern Pacific region",solitary,sessile,NA,parasite,specialist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Family,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
not in WORMS,576,Spirembolus mundus,NA,other arthropod,spider,adult,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",high,"on rocks, among Enteromorpha; high intertidal shore on rock surfaces on the green algae Ulva and under debris on sand (it also occurs in inland situations and along freshwater creeks)",solitary,mobile,NA,typical predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
