reference_number,reference
438,"Simison, W. B., & Lindberg, D. R. (2003). On the identity of Lottia strigatella (Carpenter, 1864) (Patellogastropoda: Lottiidae). Veliger, 46(1), 1–19."
439,"Rudy, Paul, Lynn Hay Rudy, and Jay F. Watson. Oregon estuarine invertebrates: an illustrated guide to the common and important invertebrate animals. [Washington, DC]: Fish and Wildlife Service, US Dept. of the Interior., 1983."
450,"Froese, R. and D. Pauly, Editors. 2000. FishBase. https://www.fishbase.us/search.php. Accessed 6/11/2024"
451,"Eschmeyer, William N.; Herald, Earl S.. 1983. A field guide to pacific coast fishes: north america. Houghton Mifflin Harcourt"
452,"Cross, Jeffrey N.. 1981. Intertidal fishes of southern california. 99-101"
453,"Penney, B. K. (2013). How specialized are the diets of Northeastern Pacific sponge-eating dorid nudibranchs? Journal of Molluscan Studies, 79(1), 64–73. https://doi.org/10.1093/mollus/eys038"
454,"Goddard, J. H. R. 1987. Observations on the opisthobranch mollusks of punta gorda, california, with notes on the distribution and biology of crimoria coneja. Observations on the opisthobranch mollusks of Punta Gorda, California, with notes on the distribution and biology of Crimoria coneja. 29. 3. 267-273"
455,Karl Perry Mauzey. 1966. Feeding behavior and reproductive cycles in pisaster ochraceus.. Biological Bulletin. 131. 127-144
456,"Menge, Jane Lubchenco; Menge, Bruce A.. 1974. Role of resource allocation, aggression and spatial heterogeneity in coexistence of two competing intertidal starfish. Ecological Monographs. 44. 2. 189-209"
457,"Menge, Bruce A.. 1972. Competition for food between two intertidal starfish species and its effect on body size and feeding. Ecology. 53. 4. 635-644. 10.2307/1934777"
458,"Daly, Kendra L.; Holmquist, Charlotte. 1986. A key to the mysidacea of the pacific northwest. Canadian Journal of Zoology. 64. 6. 1201-1210. 10.1139/z86-179"
459,"Ho, Ju-shey; Perkins, Penny Sue. 1977. A new family of cyclopoid copepod (namakosiramiidae) parasitic on holothurians from southern california. The Journal of Parasitology. 63. 2. 368-371. 10.2307/3280080"
460,"Hilton, William A.. 1930. A new phoronopsis from california. Transactions of the American Microscopical Society. 49. 2. 154-159. 10.2307/3222308"
461,"Wicksten, Mary K.. 1986. A new species of heptacarpus from california, with a redescription of heptacarpus palpator (owen) (caridea: hippolytidae). Bulletin - Southern California Academy of Sciences. 85. 1. 46-55"
462,"Muricy, Guilherme; Pearse, John. 2005. A new species of oscarella (demospongiae: plakinidae) from california. Proceedings of the California Academy of Sciences Series. 4"
463,"Scanland, Thomas Boyd; Hopkins, T. S.. 1978. A supplementary description of pinnixa tomentosa and comparison with the geographically adjacent pinnixa tubicola (brachyura, pinnotheridae). Proceedings of the Biological Society of Washington. 91. 636-641"
464,"Kuris, Armand M.. 2007. Acanthocephala. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 275-275"
465,"Kienberger, Karen; Carmona, Leila; Pola, Marta; Padula, Vinicius; Gosliner, Terrence M.; Cervera, Juan Lucas. 2016. Aeolidia papillosa (linnaeus, 1761) (mollusca: heterobranchia: nudibranchia), single species or a cryptic species complex? A morphological and molecular study. Zoological Journal of the Linnean Society. 177. 3. 481-506. 10.1111/zoj.12379"
466,"Piazzola, C. D.. 2015. Aequorea victoria. Oregon Estuarine Invertebrates: Rudys' Illustrated Guide to Common Species. University of Oregon Libraries and Oregon Institute of Marine Biology"
467,"Cook, David G.; Brinkhurst, Ralph O.; Erséus, Christer; Burreson, Eugene M.; Blake, James A.; Ruff, Eugene. 2007. Annelida. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 298-410"
468,"Martin, Joel W.; Carlton, James T.; Hessler, Robert; Belk, Denton; Cohen, Anne C.; Peterson, Dawn E.; Maddocks, Rosalie F.; Cordell, Jeffery R.; Kuris, Armand M.; Newman, William A.; Haney, Todd A.; Vetter, Eric W.; Modlin, Richard F.; Watling, Les; Brusca, Richard C.; Coelho, V√¢nia R.; Taiti, Stefano; Chapman, John W.; Bousfield, Edward L.; Bowers, Darl E.; Lavaniegos, Bertha E.; Caldwell, Roy L.; Quetin, Langdon; Ross, Robin; Sadeghian, Patricia S.; Campos, Ernesto; Child, C. Allan; Hedhpeth, Joel W.; Newell, Irwin M.; Bartsch, Ilse; Lee, Vincent F.; Daly, Howell V.; Strum, Helmut; Christiansen, Kenneth; Bellinger, Howel; Schlinger, Evert I.; White, David; Nelson, Amanda; Hoffman, Richard. 2007. Arthropoda. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 411-693"
469,"McFadden, Catherine S.; Hochberg, F.g.. 2003. Biology and taxonomy of encrusting alcyoniid soft corals in the northeastern pacific ocean with descriptions of two new genera (cnidaria, anthozoa, octocorallia). Invertebrate Biology. 122. 2. 93-113. 10.1111/j.1744-7410.2003.tb00076.x"
470,"Hochberg, F. G.. 2007. Brachiopoda. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 864-865"
471,"Soule, Dorothy F.; Soule, John D.; Morris, Penny A.; Chaney, Henry W.. 2007. Bryozoa. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 866-904"
472,"Thuesen, Erik V.. 2007. Chaetognatha. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 905-908"
473,"Abbott, Donald P.; Lambert, Charles C.; Gretchen, Lambert; Newberry, A. Todd; Madin, Laurence P.. 2007. Chordata. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 949-964"
474,"Byrnes, Jarrett E.; Reed, Daniel C.; Cardinale, Bradley J.; Cavanaugh, Kyle C.; Holbrook, Sally J.; Schmitt, Russell J.. 2011. Climate-driven increases in storm frequency simplify kelp forest food webs. Global Change Biology. 17. 8. 2513-2524. 10.1111/j.1365-2486.2011.02409.x"
475,"Mills, Claudia E.; Maeques, Antonio C.; Migotto, Alvaro E.; Calder, Dale R.; Hand, Cadet; Rees, John T.; Haddock, Steven H. D.; Dunn, Casey W.; Pugh, Philip R.; Larson, Roland J.; Fautin, Daphne G.; Williams, Gary C.. 2007. Cnidaria. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 118-188"
476,"Patarra, R. F.; Iha, C.; Pereira, L.; Neto, A. I.. 2020. Concise review of the species pterocladiella capillacea (s.g. Gmelin) santelices & hommersand. Journal of Applied Phycology. 32. 2. 787-808. 10.1007/s10811-019-02009-y"
477,"Campos, Ernesto; Carlton, James T.; Kuris, Armand M.; Sadeghian, Patricia S.. 2007. Decapoda. The Light and Smith Manual: Intertidal invertebrates from central California to Oregon. University of California Press. 632‚Äì656"
478,"Newberry, A. Todd. 1984. Dendrodoa (styelopsis) abbottii sp. nov. (Styelidae, ascidiacea) from teh pacific coast of the univted states, and its impact on some gonadal criteria of its genus and subgenus. Proceedings of the California Academy of Sciences. 43. 15. 239-248"
479,"Mills, Claudia E.; Westlake, Hannah; Hirano, Yayoi M.; Miranda, Lucília S.. 2023. Description of a common stauromedusa on the pacific coast of the united states and canada, haliclystus sanjuanensis new species (cnidaria: staurozoa). PeerJ. 11. e15944. 10.7717/peerj.15944"
480,"Shulman, Danna Joy; Hochberg, F. G.. 2007. Dicyemida (rhombozoa). The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 200-202"
481,"Bizzarro, Joseph J.; Carlisle, Aaron B.; Smith, Wade D.; Cortés, Enric. 2017. Diet composition and trophic ecology of northeast pacific ocean sharks. Advances in Marine Biology. Academic Press. 77. 111-148"
482,"Mazariegos-Villarreal, Alejandra; Fierro-Ja√∫regui, María De Lourdes; León-Cisneros, Karla; Serviere-Zaragoza, Elisa. 2017. Diet of the wavy turban snail, megastraea undosa (gastropoda: turbinidae), in subtropical rocky reefs. Pacific Science. 71. 4. 523-534. 10.2984/71.4.9"
483,"Pearse, John S.; Mooi, Rich; Messing, Charles G.; Mah, Christopher; Hendler, Gordon; Lambert, Philip. 2007. Echinodermata. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 913-948"
484,"North, Wheeler J.; Hubbs, Carl L.. 1968. Fish bulletin 139. Utilization of kelp-bed resources in southern california"
485,"Miller, Daniel J.; Lea, Robert N.. 1972. Guide to the coastal marine fishes of california. Fish Bulletin. 157"
486,"Arai, Hisao P.. 1954. Helminth parasites of embiotocid fishes. I. A new genus of the trematode family zoogonidae. The Journal of Parasitology. 40. 3. 356-359. 10.2307/3273751"
487,"Woodwick, Keith H.; Cameron, Christopher B.. 2007. Hemichordata. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 909-912"
488,"Kathman, R. D.; Austin, W. C.; Saltman, J. C.; Fulton, J. D.. 2002. Identification manual to the mysidacea and euphausiacea of the northeast pacific. Department of Fisheries and Oceans"
489,"Herstoff, Emily M.; Iyengar, Erika V.. 2011. Individuals of crepidula adunca (mollusca, gastropoda) avoid shared doom through host specificity. Journal of Experimental Marine Biology and Ecology. 406. 1. 79-86. 10.1016/j.jembe.2011.06.007"
490,"Wasson, Kerstin; Mariscal, Richard N.. 2007. Kamptozoa (entoprocta). The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 283-287"
491,"Dayneko, Jack Ronald. 1975. Life history of the rockpool blenny, hypsoblennius gilberti (jordan), at point fermin, california.. California State University, Long Beach"
492,"Lindberg, David R.; Scheltema, Amelie H.; Shimek, Ronald L.; Hochberg, F. G.; Shulman, Danna Joy; Eernisse, Douglas J.; Clark, Roger N.; Draeger, Anthony; Mclean, James H.; Reid, David; Seapy, Roger R.; Lalli, Carol M.; Williams, Gary C.; Goddard, Jeffrey H. R.; Gosliner, Terence M.; McDonald, Gary R.; Coan, Eugene V.; Valentich-Scott, Paul. 2007. Mollusca. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 694-859"
493,"Hope, W. Duane. 2007. Nematoda. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 234-266"
494,"Kuris, Armand M.. 2007. Nematomorpha. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 274-274"
495,"Roe, Pamela; Norenburg, Jon L.; Maslakova, Svetlana. 2007. Nemertea. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 221-233"
496,"Wicksten, Mary K. 1984. New records of snapping shrimps (family alpheidae) from california. Proceedings of the Biological Society of Washington. 97. 1. 186-190"
497,"Campos, Ernesto; Diaz, Victoria; Gamboa-Contreras, J A. 1998. Notes on distribution and taxonomy of five poorly known species of pinnotherid crabs from the eastern pacific (crustacea: brachyura: pinnotheridae). Proceedings of the Biological Society of Washington. 111. 2. 372-381"
498,"Glassell, Steve A. 1933. Notes on parapinnixa affinis holmes and its allies. Transactions of the San Diego Society of Natural History. 7. 319-330. 10.5962/bhl.part.6163"
499,"Rees, W. J.. 1950. On cladonema myersi, a new species of hydroid from the californian coast. Proceedings of the Zoological Society of London. 119. 4. 861-865. 10.1111/j.1096-3642.1950.tb00912.x"
500,"Day, J. H.; History), British Museum (Natural. 1967. Part 1: errantia. A monograph on the Polychaeta of southern Africa. BM(NH). Vol 1"
501,"Zimmer, Russel. 2007. Phoronida. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 860-863"
502,"Holleman, John J.; Hooge, Mathew D.; Kuris, Armand M.. 2007. Platyhelminthes. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 206-220"
503,"Boukouzis, Katerina. 2022. Predation of crabs on different species of jellyfish. University of Washington"
504,"Hadfield, Michael Gale. 1967. Reproductive biology of the california vermetid gastropods serpulorbis squamigerus (carpenter, 1857) and petaloconchus montereyensis dall, 1919.. Stanford University"
505,"Abbott, Donald P; Trason, Winona B. 1968. Ritterella rubra and distaplia smithi: two new colonial ascidians from the west coast of north america.. Bulletin - Southern California Academy of Sciences. 67. 3. 143-154"
506,"Fradkin, Steven C.. 2007. Rotifera. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 280-282"
507,"Shimek, Ronald. 1981. Shimek, r. L. 1981. Neptunea pribiloffensis (dall, 1919) and tealia crassicornis (müller, 1776), on a snail's use of babysitters.. The Veliger. 24. 62-66"
508,"Rice, Mary E.. 2007. Sipuncula and echiura. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 288-292"
509,"McCormick, Jon Michael. 1965. Some aspects of marine hydroid ecology off oregon. Oregon State University"
510,"Alvariño, Angeles. 1987. Spadella pimukatharos, a new benthic chaetognath from santa catalina island, california. Proceedings of the Biological Society of Washington. 100. 125-133"
511,"Wall, Adam R.; Bruce, Niel L.; Wetzer, Regina. 2015. Status of exosphaeroma amplicauda (stimpson, 1857), e. aphrodita (boone, 1923) and description of three new species (crustacea, isopoda, sphaeromatidae) from the north-eastern pacific. ZooKeys. 504. Nov-58. 10.3897/zookeys.504.8049"
512,"Blake; Scott, Paul H.. 1996. The cnidaria. Taxonomic Atlas of the Benthic Fauna of the Santa Maria Basin and Western Santa Barbara Channel"
513,"Burger, J. F.; Anderson, J. R.; Knudsen, M. F.. 1980. The habits and life history of oedoparena glauca (diptera: dryomyzidae), a predator of barnacles. Proceedings of the Entomological Society of Washington. 82. 360-377"
514,"Walder, Gordon L.; Arai, Hisao P.. 1974. The helminth parasites of embiotocid fishes. Iii. A new species of the genus cucullanellus törnquist, 1931 (nematoda: cucullanidae) from the shiner perch, cymatogaster aggregata gibbons. Journal of the Fisheries Research Board of Canada. 31. 2. 205-209. 10.1139/f74-033"
515,"Spilman, T J. 1967. The heteromeroid intertidal beetles. Pacific Insects"
516,"Mills, Claudia E.. 2000. The life cycle of halimedusa typus, with discussion of other species closely related to the family halimedusidae (hydrozoa, capitata, anthomedusae). Scientia Marina. 64. S1. 97-106. 10.3989/scimar.2000.64s197"
517,"Rees, JT; C, Hand; C, Mills. 1976. The life cycle of hydrocoryne bodegensis, new species (coelenterata, hydrozoa) from california, and a comparison with hydrocoryne miurensis from japan.. The Wasmann Journal of Biology. 34. 1. 108-118"
518,"Laubenfels, M. W.. 1932. The marine and fresh-water sponges of california"
519,"Macquitty, Miranda. 1984. The marine halacaroidea (acari) of california. Journal of Natural History. 18. 4. 527-554. 10.1080/00222938400770451"
520,"Brusca, Richard C.; Wallerstein, Barry R.. 1977. The marine isopod crustacea of the gulf of california. 1, family idoteidae. American museum novitates ; no. 2634"
521,"Schuster, Jasmin M.; Bates, Amanda E.. 2023. The role of kelp availability and quality on the energetic state and thermal tolerance of sea urchin and gastropod grazers. Journal of Experimental Marine Biology and Ecology. 569. 151947. 10.1016/j.jembe.2023.151947"
522,"Rudman, W. B. 2010. The sea slug forum - chromodoris macfarlandi on aplysilla polyraphis. http://www.seaslugforum.net/find/2499. Accessed 6/11/2024"
523,"Rudman, W. B. 2010. The sea slug forum - sponge prey of chromodoris macfarlandi. http://www.seaslugforum.net/find/2561. Accessed 6/11/2024."
524,"Bousfield, Edward Lloyd; Marcoux, Pierre. 2004. The talitroidean amphipod family najnidae in the north pacific region: systematics and distributional ecology. Amphipacifica: Journal of Systematic Biology. 3. 4. Mar-44"
525,"Ching, Hilda Lei. 1961. Three trematodes from the harlequin duck. Canadian Journal of Zoology. 39. 3. 373-376. 10.1139/z61-041"
526,"Bücking, J. (1998). Investigations on the feeding habits of the rocky-shore mite Hyadesia fusca (Acari: Astigmata: Hyadesiidae): Diet range, food preference, food quality, and the implications for distribution patterns Jens Bricking. Helgoländer Meeresuntersuchungen, 52, 159–177."
527,"Smit, N. J., & Davies, A. J. (2004). The curious life-style of the parasitic stages of gnathiid isopods. Advances in parasitology, 58, 289-391."
528,"Abbott, I. A., Isabella, A. & Hollenberg, G. J. Marine Algae of California. (Stanford University Press, 1992)."
529,"Craig, S. et al. North Coast Baseline Surveys of Rocky Intertidal Ecosystems. Final Report 119 (2017)."
530,"Raimondi, P. T. Rocky Intertidal Ecosystems, California North Coast MPA Baseline Study - California Open Data. https://data.ca.gov/dataset/rocky-intertidal-ecosystems-california-north-coast-mpa-baseline-study (2018)."
531,"Barnard, J. L. Gammaridean Amphipoda of the rocky intertidal of California: Monterey Bay to La Jolla. Bulletin of the United States National Museum 258, 1–230 (1969)."
532,"Keen, A. M. New Pelecypod species of the genera Lasaea and Crassinella. Journal of Molluscan Studies 23, 18–32 (1938)."
533,"Kathy Ann Miller (ed.) 2024. California Seaweeds eFlora, http://ucjeps.berkeley.edu/seaweedflora/ [accessed on June 18, 2024]."
534,"Ivanochko, T. et al. Phyto’pedia: The Phytoplankton Encyclopedia Project. https://phytoplankton.eoas.ubc.ca/research/phytoplankton/about.html (2012)."
535,"Robertson, A. Studies in Pacific Coast Entoprocta. Proceedings of the California Academy of Sciences 2, 323–348 (1900)."
536,"DeLaubenfels, M. W. The Marine and Freshwater Sponges of California. Proceedings of the United States National Museum 81, (1932)."
537,"University of Victoria. Biodiversity of the Central Coast: Species Guide. Biodiversity of the Central Coast https://www.centralcoastbiodiversity.org/species-guide.html [accessed on June 18, 2024]."
538,"Dawson, E. Y. A review of the genus Rhodymenia with descriptions of new species. Allan Hancock Pacific Expeditions 3, 123–181 (1941)."
539,"Bates, Chris. 2020. iNaturalist observation. https://www.inaturalist.org/observations/61925835. [accessed on 18 June 2024]."
540,Scripps Institute of Oceanography Zooplankton Guide. https://sio-legacy.ucsd.edu/zooplanktonguide/.
541,"Krantz, G. W. Arenicolous Halacaridae from the intertidal zone of Schooner Creek, Oregon (Acari: Prostigmata). Acarologia 18, 241–258 (1976)."
