Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Title,Publisher,Place,
1970,"Stephens Jr., John S.; Johnson, Robert K.; Key, Gerald S.; McCosker, John E.","The Comparative Ecology of Three Sympatric Species of California Blennies of the Genus Hypsoblennius gill (Teleostomi, Blenniidae)",Ecological Monographs,,1557-7015,10.2307/1942296,https://onlinelibrary.wiley.com/doi/abs/10.2307/1942296,"Three species of the blenniid genus Hypsoblennius, H. gilberti, jenkinsi, and gentilis, coexist in the shallow waters of the San Diegan Warm Temperate Region. Extensive field and laboratory studies were carried out to determine the degree of ecological differentiation present in these species. The dominant species, H. gilberti and H. jenkinsi show both behavioral and ecological specializations which are lacking in H. gentilis. These differences include: Habitat preference; H. gilberti inhabits the rocky intertidal and adjacent subtidal cobble; H. jenkinsi is found only subtidally, inhabiting boring clam burrows, Serpulorbis tubes or mussel beds. Adult motility: H. gilberti is a meandering species commonly including a radius as large as 15 m within its home range. Individuals return to 'home' pools at low tide and homing has been demonstrated for displacements as great at 45 m. H. jenkinsi is sedentary rarely wandering more than a meter from its home refuge. Homing was not demonstrated in this species, even for displacements as small as 5 m. Territoriality: Degree of territoriality correlates with movement, the sedentary species is highly territorial while this phenomena is less easily demonstrated in the meandering form. The above differences have been experimentally verified in the laboratory. All species are omnivorous, differences in gut content seem to represent different habitat associations. Reproduction occurs from spring through late summer; the eggs are guarded by the male. Hatching occurs in 4—18 days depending on temperature; the larvae are pelagic for about three months. Adult size differences reflect differing larval and first year growth plus differing longevity; determinate growth has not been demonstrated. Adult size varies between the species and is an important ecological factor. In the small tubiculous species H. jenkinsi, tube size controls fish size (habitat matching) probably through predator selection. Habitats made up of different tube sizes support populations of significantly different mean fish size. In Newport Bay, population structures are altered by a viral infection, Lymphocystis which reaches epidemic levels during the warm months. The ecological differences between the three species seem to indicate that H. gentilis is the most generalized (primitive) form. The specializations of its congeners adapt them to coexistence with limited competition. H. gentilis unspecialized and unable to compete in Southern California survives here in marginal habitats, particularly areas recently modified by man.",1970,213-233,,2,40,,,,,,,,,"Stephens Jr., J. S., Johnson, R. K., Key, G. S., & McCosker, J. E. (1970). The Comparative Ecology of Three Sympatric Species of California Blennies of the Genus Hypsoblennius gill (Teleostomi, Blenniidae). Ecological Monographs, 40(2), 213–233. https://doi.org/10.2307/1942296"
1986,"Stepien, Carol A.","Regulation of color morphic patterns in the giant kelpfish, <i>Heterostichus rostratus</i> Girard: genetic versus environmental factors",Journal of Experimental Marine Biology and Ecology,,0022-0981,10.1016/0022-0981(86)90162-0,https://www.sciencedirect.com/science/article/pii/0022098186901620,"Color choice experiments tested preferences of red, green, and brown color morphs of giant kelpfish, Heterostichus rostratus Girard, for matching versus non-matching colored backgrounds. Kelpfish were determined to prefer matching colors, these results being most pronounced with live plant backgrounds and progressively less significant with backgrounds of artificial plants and flat plastic panels, respectively. Adult kelpfish demonstrated a stronger preference for matching backgrounds than did juveniles. Kelpfish larvae whose parents colors were known were reared on red, green, or brown colored backgrounds. They developed brown or green juvenile color morphic patterns, apparently independently of parent color. These rearing experiments indicated that development of juvenile color is determined by plant background. Long-term color change abilities of juvenile and adult kelpfish color morphs on colored habitats were tested in laboratory and in situ experiments. It was found that juveniles readily changed on both artificial and live plant backgrounds from green to brown, and vice versa. Changes in color of adults were less pronounced and slower, particularly in laboratory experiments, and largely confined to females. In situ experiments yielded the greatest magnitudes of color change, some adult females changing between red, brown and green. Male and juvenile kelpfish were incapable of becoming red, corresponding to color morph frequency collection data. Adult males also apparently lost the capability to change to true green. These differences indicate that color change ability and assumption of red color may be governed by sex hormones.",9/1/86,181-208,,1,100,,Journal of Experimental Marine Biology and Ecology,"Regulation of color morphic patterns in the giant kelpfish, <i>Heterostichus rostratus</i> Girard",,,,,,"Stepien, C. A. (1986). Regulation of color morphic patterns in the giant kelpfish, Heterostichus rostratus Girard: Genetic versus environmental factors. Journal of Experimental Marine Biology and Ecology, 100(1), 181–208. https://doi.org/10.1016/0022-0981(86)90162-0"
1990,"Stepien, Carol A.","Population Structure, Diets and Biogeographic Relationships of a Rocky Intertidal Fish Assemblage in Central Chile: High Levels of Herbivory in a Temperate System",Bulletin of Marine Science,,,,,"Intertidal fishes were sampled in August 1987 using Quinaldine or rotenone from rocky habitats near Viña del Mar, Chile (33°00′S), a region of biogeographic transition between northerly warm temperate and southerly cold temperate faunas. Fishes collected belonged to the following 9 families and 12 species, in decreasing order of abundance: Tripterygion cunninghami (Tripterygiidae), Myxodes viridis (Clinidae), Scartichthys viridis (B1enniidae), Graus nigra (Girellidae), Girella laevifrons (Girellidae), Auchenionchus microcirrhis (Labrisomidae), Aplodactylus punctatus (Aplodactylidae), Sicyases sanguineus (Gobiesocidae), Hypsoblennius sordidus (Blenniidae), Clupea fuegensis (Clupeidae), Auchenionchus variolosus (Labrisomidae), and Ophiogobius jenynsi (Gobiidae). Seven species (and 52% of the total number of individuals sampled) were primarily warm temperate in distribution (M. viridis, S. viridis, G. laevifrons, A. punctatus, A. microcirrhis, H. sordidus, and S. sanguineus), the remainder were primarily cold temperate. Gut content analyses determined that four species (S. viridis, G. laevifrons, S. sanguineus, and A. punctatus) representing 20% of the total number of individuals and 51% of total biomass were primarily herbivorous. All of the primarily herbivorous species had warm-temperate distributions. The present study suggests that intertidal fish herbivory is considerably more important in central Chile than in other known temperate systems.",11/1/90,598-612,,3,47,,Bulletin of Marine Science,"Population Structure, Diets and Biogeographic Relationships of a Rocky Intertidal Fish Assemblage in Central Chile",,,,,,"Stepien, C. A. (1990). Population Structure, Diets and Biogeographic Relationships of a Rocky Intertidal Fish Assemblage in Central Chile: High Levels of Herbivory in a Temperate System. Bulletin of Marine Science, 47(3), 598–612."
1986,"Stepien, Carol A.","Life history and larval development of the giant kelpfish, <i>Heterostichus rostratus</i> Girard, 1854",,,,,,"Life history data from about 1,200 giant kelpfish, including age, length, and weight relationships, are described and analyzed. Additionally, differences in habitats and behavior between larvae. juveniles, and adults are reported. Female giant kelpfish were found to be larger than males at given ages past sexual maturity. Age data indicate that females live longer and all individuals larger than 28 cm TL collected in this study were females. Males guard the algal nests until hatching, about 2 weeks after spawning. Giant kelpfish from nests eollected in the field were reared in the laboratory, surviving for up to 9 months. Feeding and development of laboratory-reared larvae were compared with field-collected specimens. In situ, they school in the kelp eanopy until 2 months old, gradually developing juvenile eoloration and beeoming increasingly thigmotaetic and solitary. Giant kelpfish reach sexual maturity at 1-1.5 years, at which time they eommence to defend territories in given plant habitats.",1986,,,,,,,,,,,,,"Stepien, C. A. (1986). Life history and larval development of the giant kelpfish, Heterostichus rostratus Girard, 1854."
2008,"Stickle, W. B.; Kozloff, E. N.",Association and distribution of the ciliate <i>Orchitophrya</i> <i>stellarum</i> with asteriid sea stars on the west coast of North America,Diseases of Aquatic Organisms,,0177-5103 (Print) 0177-5103 (Linking),10.3354/dao01917,,"The association of the scuticociliate Orchitophrya stellarum with 3 species of asteriid sea stars from the west coast of North America was studied by flushing the gonopore region with seawater and spawning the sea stars, along a latitudinal gradient of 2549 km between Pigeon Point, California, and Kodiak, Alaska. Asterias forbesii and A. rubens from the Isles of Shoals, New Hampshire (east coast), were also sampled. The ciliate was found on the aboral surface of both sexes of reproductively ripe Evasterias troschelii, Leptasterias spp., and Pisaster ochraceus with a maximum intensity of association occurring at Cape Arago, Oregon, and Clallum Bay and Manchester Dock, Washington. A survey of gonad smears and hematoxylin and eosin-stained sections indicated that the ciliate was only present in males. Spring-spawning E. troschelii and P. ochraceus are more negatively impacted by the ciliate than are winter-spawning Leptasterias spp. as judged by a skewed sex ratio and sex size differences, which may be associated with seasonal differences in water temperature affecting the growth rate of O. stellarum. The external morphology of O. stellarum appears to be similar throughout the geographical range surveyed.",6/19/08,37-43,,1,80,,,,,,,,,"Stickle, W. B., & Kozloff, E. N. (2008). Association and distribution of the ciliate Orchitophrya stellarum with asteriid sea stars on the west coast of North America. Diseases of Aquatic Organisms, 80(1), 37–43. https://doi.org/10.3354/dao01917"
1985,"Strickler, J. R.",Feeding currents in calanoid copepods: two new hypotheses,Symposia of the Society for Experimental Biology,,0081-1386,,,"The interaction between planktonic herbivorous calanoid copepods and their food, planktonic algae, is investigated to increase our understanding of the physiological adaptations these small marine animals have acquired in the course of evolution. Emphasis is given to the centimetre -second scale where calanoids encounter algae, select and capture them, or reject them either passively or actively. Most calanoid copepods create feeding currents which can be subdivided into three cores: motion, viscous, and sensory cores. Algae contained in the sensory core are perceived and then re-routed towards the capture area. The perimeter encompassing all the points of these re-routings can be defined as the reactive field of awareness surrounding the calanoid. An analysis of typical biological oceanographic feeding experiments reveals that direct observations are necessary to understand the feeding behaviours and strategies of calanoid copepods. To facilitate further studies, a new experimental set-up has been described and two hypotheses have been formulated. The method allows direct observations, in all three dimensions, of free-swimming herbivorous calanoids and their food in a 6-litre vessel. The two hypotheses are based on the fact that calanoids create feeding currents and orient their bodies within the water column. The first hypothesis states that calanoid copepods create species-specific, and maybe even age-specific, feeding currents. The second one proposes that ambient water motions may act as a mechanism for niche separation in herbivorous calanoid copepods. This latter hypothesis is based on the inference that ambient water motions may interfere with the flow field of the feeding current thereby making it more difficult for calanoids to successfully re-route algae contained in the sensory core of the feeding current.",1985,459-485,,,39,,Symp Soc Exp Biol,Feeding currents in calanoid copepods,,,,,,"Strickler, J. R. (1985). Feeding currents in calanoid copepods: Two new hypotheses. Symposia of the Society for Experimental Biology, 39, 459–485."
2008,"Sunday, J.; Raeburn, L.; Hart, M. W.",Emerging infectious disease in sea stars: castrating ciliate parasites in <i>Patiria</i> <i>miniata</i>,Diseases of Aquatic Organisms,,0177-5103 (Print) 0177-5103 (Linking),10.3354/dao01949,,"Orchitophrya stellarum is a holotrich ciliate that facultatively parasitizes and castrates male asteriid sea stars. We discovered a morphologically similar ciliate in testes of an asterinid sea star, the northeastern Pacific bat star Patiria miniata (Brandt, 1835). This parasite may represent a threat to Canadian populations of this iconic sea star. Confirmation that the parasite is O. stellarum would indicate a considerable host range expansion, and suggest that O. stellarum is a generalist sea star pathogen.",8/27/08,173-6,,2,81,,,,,,,,,"Sunday, J., Raeburn, L., & Hart, M. W. (2008). Emerging infectious disease in sea stars: Castrating ciliate parasites in Patiria miniata. Diseases of Aquatic Organisms, 81(2), 173–176. https://doi.org/10.3354/dao01949"
1982,"Tangren, Gerald V",Feeding Behavior of Crows and Gulls on a Puget Sound Beach,Western Birds,,,,,,1982,12-Jan,,4-Jan,13,,,,,,,,,"Tangren, G. V. (1982). Feeding Behavior of Crows and Gulls on a Puget Sound Beach. Western Birds, 13(1–4), 1–12."
1969,"Taylor, Peter B.; Chen, Lo-Chai",The Predator-Prey Relationship between the Octopus (<i>Octopus bimaculatus</i>) and the California Scorpionfish (<i>Scorpaena guttata</i>),,,0030-8870,,http://hdl.handle.net/10125/3386,"The predator-prey relationships between the California scorpionfish Scorpaena guttata Girard and the octopus Octopus bimaculatus Verrill were examined by observations of behavior in aquariums. California scorpionfish eat small octopuses, but they specifically evade large octopuses attempting to stalk them, in contrast with their defensive behavior, employing the venomous spines, against other potential predators. They appear to discriminate between predatory behavior and other kinds of behavior of octopuses. The observations suggest that, in nature, octopuses prey on scorpionfish, principally on the juveniles.",1969-07,,,,,,,,,,,,,"Taylor, P. B., & Chen, L.-C. (1969). The Predator-Prey Relationship between the Octopus (Octopus bimaculatus) and the California Scorpionfish (Scorpaena guttata). http://hdl.handle.net/10125/3386"
1983,"Tegner, M. J.; Levin, L. A.",Spiny lobsters and sea urchins: Analysis of a predator-prey interaction,Journal of Experimental Marine Biology and Ecology,,0022-0981,10.1016/0022-0981(83)90079-5,https://www.sciencedirect.com/science/article/pii/0022098183900795,"Spiny lobsters, Panulirus interruptus (Randall), are important predators of two species of sea urchins, Strongylocentrotus franciscanus (A. Agassiz) and S. purpuratus (Stimpson), which are major herbivores in southern California kelp forest communities. Aquarium experiments indicate that spiny lobsters strongly prefer S. purpuratus over S. franciscanus of comparable test diameter, probably accounting for the higher number of S. purpuratus mortalities observed in the field. Juvenile S. franciscanus (< 60 mm test diameter, TD) are preferred over larger conspecifics, but the smallest S. franciscanus (< 30 mm TD) are protected by association with the adult urchin spine canopy. Mid-sized S. franciscanus too large to fit under the spine canopy are subject to intense predation. All sizes of P. interruptus tested showed a notable reluctance to attack large S. franciscanus (> 90 mm TD) when offered a range of sizes, although the larger lobsters are capable of handling the largest urchins. Relative movement, spine length, test thickness, and gonad weights of sea urchins were examined to evaluate the factors affecting the lobsters' choice of prey, and behavioral responses to lobsters were assessed to determine urchin availability to these predators. The handling problems associated with the long spines of larger S. franciscanus appear to be the major considerations in prey choice despite the much greater potential energy gain from these urchins. Thus predation by spiny lobsters appears to be sufficient to explain the bimodal size-frequency distribution typical of S. franciscanus populations in areas where these predators are common. Heavy fishing pressure on spiny lobsters during this century probably resulted in the release of sea urchin populations and contributed to episodes of destructive urchin grazing observed in the 1950's and subsequent years.",12/8/83,125-150,,2,73,,Journal of Experimental Marine Biology and Ecology,Spiny lobsters and sea urchins,,,,,,"Tegner, M. J., & Levin, L. A. (1983). Spiny lobsters and sea urchins: Analysis of a predator-prey interaction. Journal of Experimental Marine Biology and Ecology, 73(2), 125–150. https://doi.org/10.1016/0022-0981(83)90079-5"
2010,"Temereva, E. N.; Malakhov, V. V.","Filter feeding mechanism in the phoronid Phoronopsis harmeri (Phoronida, Lophophorata)",Russian Journal of Marine Biology,,1608-3377,10.1134/S1063074010020057,https://doi.org/10.1134/S1063074010020057,"Phoronids, like other Lophophorata (Bryozoa and Brachiopoda) are filter feeders. The lophophore performs various functions, the most important of which is the collection and sorting of food particles. The mechanism of sorting has been well studied for many other groups of invertebrate, but until now it has remained obscure for phoronids. With the help of functional morphology data we are proposing a possible scheme of sorting in phoronids on the example of Phoronopsis harmeri. The lower limit of the particle size is defined by the distance between laterofrontal cilia of tentacles and equals 1.2 μm. Larger particles are transferred by frontal cilia to the basis of the tentacles, where they pass into the lophophoral groove. The distance between the epistome and the external row of tentacles regulates the upper limit of the particle size that are suitable for food. Only particles whose size does not exceed 12 μm get into the lophophoral groove and further into the mouth. Larger particles collect in the space above the epistome and are removed from the lophophore. The size of the food particles that phoronids consume by filtration lies in a range 1.2–12 μm. These are bacteria and small phytoplankton organisms. At the same time the significant individual mobility of the phoronid tentacles plays an important role in the expansion of the pabular spectrum to large inactive zooplankton and phytoplankton organisms reaching a size of 50–100 μm.",3/1/10,109-116,,2,36,,Russ J Mar Biol,,,,,,,"Temereva, E. N., & Malakhov, V. V. (2010). Filter feeding mechanism in the phoronid Phoronopsis harmeri (Phoronida, Lophophorata). Russian Journal of Marine Biology, 36(2), 109–116. https://doi.org/10.1134/S1063074010020057"
2018,"Terbiyik Kurt, Tuba",Preliminary results on the feeding and gut content of <i>Flaccisagitta enflata</i> in coastal areas of İskenderun Bay (northeastern Mediterranean Sea),Kahramanmaraş Sütçü İmam Üniversitesi Tarım ve Doğa Dergisi,,2619-9149,10.18016/ksudobil.406362,http://dergipark.org.tr/en/doi/10.18016/ksudobil.406362,"In this study, it was aimed to characterize the feeding and diet composition of the most common pelagic chaetognath Flaccisagitta enflata. Zooplankton samples were collected using a WP-2 zooplankton net (200 µm) at three stations in the İskenderun Bay in October 2016, December 2016 and March 2017. F. enflata was the most abundant chaetognath in all samples and its proportion varied from 42 to 94%. Younger stages (I and II) dominated the population of F. enflata. In total, 1663 specimens were examined, but only 185 contained prey in their guts. The total food-containing ratio and the number of prey items for this chaetognath species were 11% and 0.1, respectively. These values varied for different maturity stages. Most food items were unidentified due to digestion. Copepods were the main food resource (36.8%) for the species. Cannibalism was also observed.",10/31/18,765-771,,5,21,,,,,,,,,"Terbiyik Kurt, T. (2018). Preliminary results on the feeding and gut content of Flaccisagitta enflata in coastal areas of İskenderun Bay (northeastern Mediterranean Sea). Kahramanmaraş Sütçü İmam Üniversitesi Tarım ve Doğa Dergisi, 21(5), 765–771. https://doi.org/10.18016/ksudobil.406362"
1985,"Thompson, J E",Exudation of biologically-active metabolites in the sponge<i> Aplysina fistularis</i>,Chemical Evidence,,,,,"Substances exuded by the intertidal sponge Aplysina fistularis (Pallas, 1776) from San Diego, California, USA, were collected with open (flowing) and dosed seawater systems. The exudates were tested in bioassays for: (1) behavior modifications of invertebrate adults, including a hydroid, an ectoproct, a limpet and a sea star, (2) toxicity to dorid nudibranchs (three species), (3) inhibition of sexual reproduction in a brown alga, and (4) inhibition of settlement and/or metamorphosis of late larvae or juveniles, including an ectoproct, a polychaete and a gastropod. Exudates inhibited metamorphosis of gastropod veliger larvae and caused behavior modifications in all invertebrate adults, but were not toxic to dorid nudibranchs. It is proposed that exudates help protect A.fistularis from surface overgrowth by fouling organisms and from tissue damage by mobile animals.",1985,,,,,,,,,,,,,"Thompson, J. E. (1985). Exudation of biologically-active metabolites in the sponge Aplysina fistularis. Chemical Evidence."
2007,"Thuesen, Erik V.",Chaetognatha,The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon,978-0-520-93043-8,,,https://www.degruyter.com/document/doi/10.1525/9780520930438-036/html,Chaetognatha was published in The Light and Smith Manual on page 905.,2007,905-908,,,,,,,,,,University of California Press,,"Thuesen, E. V. (2007). Chaetognatha. In The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon (pp. 905–908). University of California Press. https://doi.org/10.1525/9780520930438-036"
1988,"Topp, Werner; Ring, Richard A.",Adaptations of Coleoptera to the marine environment. II. Observations on rove beetles (Staphylinidae) from rocky shores,Canadian Journal of Zoology,,"0008-4301, 1480-3283",10.1139/z88-366,http://www.nrcresearchpress.com/doi/10.1139/z88-366,"Two common rove beetles inhabit the intertidal rocky shores of British Columbia: Liparocephalus cordicollis Le Conte and Diaulota densissima Casey. Liparocephalus cordicollis, the more abundant of the two, is a predator that feeds preferentially on small chironomid larvae. Adults and larvae of this species can withstand submergence in seawater at 10 °C for more than 2 weeks. Thus they are able to survive continuous inundation from one spring tide to the next, just above lowest tide levels. Adults of L. cordicollis are osmotic regulators and can stabilize their body weight at salinities varying from 2 to 45‰. Both of these staphylinid species respire above and below water. Oxygen consumption of L. cordicollis in air at 10 °C was 376 ± 59 μL O               2               ∙g               −1               ∙h               −1               , but when the beetles were immersed in seawater at the same temperature the respiration rate was reduced to 45 ± 8 μL O               2               ∙g               −1               ∙h               −1               . During submersion, temperature-dependent reactions were observed (Q               10                = 2). Respiration was constant within the salinity range of 2–30‰, but at higher levels (45‰) oxygen consumption increased to 55 ± 5 μL∙g               −1               ∙h               −1               . When L. cordicollis was exposed to warm, dry conditions (simulating low tide on a warm summer day) the rate of evaporation from the cuticle was very high, calculated at 175 μg H               2               O loss per cm               2               body surface per hour per mm Hg saturation deficit. The LT               50               (mean lethal time) for a laboratory population was 2.5 h at a vapor pressure deficit of 7 mm Hg. In the larvae of beetles of the two species, asynchrony of growth in the population occurs because submerged larvae stop feeding and growing. Consequently, the development of individuals living near the low tide line is protracted compared with that of individuals living in the midlittoral zone.",11/1/88,2469-2474,,11,66,,Can. J. Zool.,,,,,,,"Topp, W., & Ring, R. A. (1988). Adaptations of Coleoptera to the marine environment. II. Observations on rove beetles (Staphylinidae) from rocky shores. Canadian Journal of Zoology, 66(11), 2469–2474. https://doi.org/10.1139/z88-366"
2006,"Towanda, T; Thuesen, Ev",Ectosymbiotic behavior of <i>Cancer gracilis</i> and its trophic relationships with its host <i>Phacellophora camtschatica</i> and the parasitoid <i>Hyperia medusarum</i>,Marine Ecology Progress Series,,"0171-8630, 1616-1599",10.3354/meps315221,http://www.int-res.com/abstracts/meps/v315/p221-236/,"In southern Puget Sound, large numbers of megalopae and juveniles of the brachyuran crab Cancer gracilis and the hyperiid amphipod Hyperia medusarum were found riding the scypho- zoan Phacellophora camtschatica. C. gracilis megalopae numbered up to 326 individuals per medusa, instars reached 13 individuals per host and H. medusarum numbered up to 446 amphipods per host. Although C. gracilis megalopae and instars are not seen riding Aurelia labiata in the field, instars readily clung to A. labiata, as well as an artificial medusa, when confined in a planktonkreisel. In the laboratory, C. gracilis was observed to consume H. medusarum, P. camtschatica, Artemia franciscana and A. labiata. Crab fecal pellets contained mixed crustacean exoskeletons (70%), nematocysts (20%), and diatom frustules (8%). Nematocysts predominated in the fecal pellets of all stages and sexes of H. medusarum. In stable isotope studies, the δ 13 C and δ 15 N values for the megalopae (-19.9 and 11.4, respectively) fell closely in the range of those for H. medusarum (-19.6 and 12.5, respec- tively) and indicate a similar trophic reliance on the host. The broad range of δ 13 C (-25.2 to -19.6) and δ 15 N (10.9 to 17.5) values among crab instars reflects an increased diversity of diet as crabs develop. The association between C. gracilis and P. camtschatica is unusual because of the ontogenic switch of the symbiont from a primarily kleptoparasitic association to a facultative cleaning association. It is suggested that P. camtschatica incidentially concentrates H. medusarum in its oral arms as the sym- bionts transfer from its gelatinous prey. Metabolic studies suggest that by riding medusae crabs may be able to develop faster through transport into warmer surface waters while reducing the energetic costs associated with locomotion.",6/13/06,221-236,,,315,,Mar. Ecol. Prog. Ser.,,,,,,,"Towanda, T., & Thuesen, E. (2006). Ectosymbiotic behavior of Cancer gracilis and its trophic relationships with its host Phacellophora camtschatica and the parasitoid Hyperia medusarum. Marine Ecology Progress Series, 315, 221–236. https://doi.org/10.3354/meps315221"
1979,"Tricas, Timothy C","RELATIONSHIPS OF THE BLUE SHARK, <i>PRIONACE GLAUCA</i>, AND ITS PREY SPECIES NEAR SANTA CATALINA ISLAND, CALIFORNIA",Fishery Bulletin,,,,,"Small fishes and cephalopods associated with both pelagic and inshore habitats composed the major prey for the blue shark, Prionace glauca, near Santa Catalina Island, Calif. The northern anchovy, Engraulis mordax, was the predominant prey for sharks in the immediate study area while at least 13 species ofpelagic cephalopods constituted major prey for sharks in more distant oceanic waters. Inshore species taken by sharks included pipefish, Syngnathus californiensis; jack mackerel, Trachurus symmetricus; and blacksmith, Chromis punctipinnis. In addition, sharks moved inshore to feed on winter spawning schools of market squid, Loligo opalescens. Digestive rate studies and telemetric monitoring of activity patterns indicate that sharks forage in waters near the surface from around midnight through dawn. Diel activities of prey species were examined and show that most prey dispersed in the upper water column at night and refuged during the day either by schooling (anchovies and jack mackerel) or by retreating to deeper waters (pelagic cephalopods). Field observations of shark feeding behavior indicate that predatory modes vary in response to prey behavior.",1979,175-182,,1,77,,,,,,,,,"Tricas, T. C. (1979). RELATIONSHIPS OF THE BLUE SHARK, PRIONACE GLAUCA, AND ITS PREY SPECIES NEAR SANTA CATALINA ISLAND, CALIFORNIA. Fishery Bulletin, 77(1), 175–182."
2019,"Tuskes, Paul M.",Calliostomatidae of the northeast Pacific,Zoosymposia,,1178-9913,10.11646/zoosymposia.13.1.9,https://www.biotaxa.org/Zoosymposia/article/view/zoosymposia.13.1.9,"Four genera of Calliostomatidae are known from the northeast Pacific, Akoya, Calliostoma, Otukaia, and Xeniostoma. Fifteen holotypes and all species are illustrated and diagnostic information presented. Approximately one third of the species occur most commonly below 100 m, some species have been collected in excess of 1,000 m. Akoya titanium (McLean, 1984) and A. bernardi (McLean, 1984) are recognized as synonyms of A. platinum (Dall, 1890). Confirmed diet of the species, which are known, includes primarily sessile invertebrates and diatoms.",2/28/19,83-96,,,13,,,,,,,,,"Tuskes, P. M. (2019). Calliostomatidae of the northeast Pacific. Zoosymposia, 13, 83–96. https://doi.org/10.11646/zoosymposia.13.1.9"
2019,"Tuskes, Paul; McGowan-Tuskes, Ann",Calliostoma and Akoya of the Californian Marine Province (Gastropoda: Calliostomatidae),The Festivus,,7389388,10.54173/F511011,https://www.thesandiegoshellclub.com/2019.html,"Fifteen species of Calliostomatidae are known to occur in the Californian marine province. Biological observations in situ on shallow water species indicates they are primarily carnivores, feeding on sessile organisms such as sponge, bryozoan, hydrozoa, diatoms and various Cnidaria. Adult variation, distribution, depth, and habitat are discussed and a summary of distribution records are provided for unique species. Analysis of shell morphology indicates Akoya titanium is a synonymy of A. platinum. A review of museum material also suggests that C. splendens appears to be correctly placed as a synonym of C. supragranosm. A new species of Calliostoma from the most southern portion of the Californian marine province is described and illustrated.",2/1/19,28-Nov,,1,51,,The Festivus,Calliostoma and Akoya of the Californian Marine Province (Gastropoda,,,,,,"Tuskes, P., & McGowan-Tuskes, A. (2019). Calliostoma and Akoya of the Californian Marine Province (Gastropoda: Calliostomatidae). The Festivus, 51(1), 11–28. https://doi.org/10.54173/F511011"
2009,"Tuskes, Paul; Tuskes, Ann","Influence of Habitat on Growth and Prey Selection of <i>Pteropurpura festiva</i>, the Festive Murex",The Festivus,,,,,,2009,211-220,,4,48,,,,,,,,,"Tuskes, P., & Tuskes, A. (2009). Influence of Habitat on Growth and Prey Selection of Pteropurpura festiva, the Festive Murex. The Festivus, 48(4), 211–220."
2023,"Tuskes, Paul; Tuskes, Ann","Biology of the Wavy Top Turban <i>Megastraea undosa</i> (Wood, 1828) from Southern California, and the Baja California Peninsula (Turbinidae)",The Festivus,,7389388,10.54173/F55140,https://www.thesandiegoshellclub.com/2023.html,"Megastraea undosa (Wood, 1828) and M. turbanica (Dall, 1910) constitute a notable fishery in Baja California, México and a much smaller fishery in southern California, USA. The in situ diet of M. undosa includes over 30 genera of marine algae. New data from southern California are presented and compared to research from México. Information regarding the habitat of early age classes, change in shell shape with age, growth rates, longevity, and muscle weight vs. basal diameter are presented. California State Fish and Wildlife data for commercial landings of Megastraea for the past 23 years indicate 75 % of the catch has been taken off San Diego, California. Among M. undosa with basal diameters of 90 mm or greater, approximately 15.5 % of the gross weight is edible muscle.",2/1/23,40-56,,1,55,,The Festivus,,,,,,,"Tuskes, P., & Tuskes, A. (2023). Biology of the Wavy Top Turban Megastraea undosa (Wood, 1828) from Southern California, and the Baja California Peninsula (Turbinidae). The Festivus, 55(1), 40–56. https://doi.org/10.54173/F55140"
1972,"Vader, Wim",Associations between amphipods and molluscs. A review of published records,Sarsia,,0036-4827,10.1080/00364827.1972.10411193,https://doi.org/10.1080/00364827.1972.10411193,"Published records of association between amphipods and living molluscs are reviewed. Two types of associations can be distinguished: sheltering under intertidal gastropods or chitonids, and inquilinism in the branchial cavity of bivalves.",1/27/72,13-18,,1,48,,,,,,,,,"Vader, W. (1972). Associations between amphipods and molluscs. A review of published records. Sarsia, 48(1), 13–18. https://doi.org/10.1080/00364827.1972.10411193"
2019,"Valdés, Ángel",Northeast Pacific benthic shelled sea slugs,Zoosymposia,,"1178-9913, 1178-9905",10.11646/zoosymposia.13.1.21,https://www.mapress.com/j/zs/article/view/zoosymposia.13.1.21,"A compendium of the northeast Pacific benthic shelled sea slugs formerly classified in the paraphyletic group “Opisthobranchia” is provided. These include organisms with internal and/or reduced shells. Shell-less groups such as Nudibranchia or closely related benthic shelled clades such as the Pyramidelloidea and the Siphonarioidea are excluded. The Sacoglossa is not represented by any shelled forms in the northeast Pacific and therefore is also excluded. Descriptions include diagnostic characteristics, species abundance information, geographic and bathymetric ranges, and ecological data (if available). Short remarks for most species and higher taxa provide additional information published elsewhere and/or address outstanding taxonomic or nomenclatural issues. Illustrations of the shells and — in some cases — the live animals are provided. Species are arranged based on current classification schemes and a full list of primary synonyms, location of type material (if known), and type localities of all synonyms are provided for each species. Three new species are described in this paper: Microglyphis michelleae new species, Microglyphis sabrinae new species and Bogasonia jennyae new species. Oscaniella purpurea Bergh, 1897 is here designated the type species of Oscaniella Bergh, 1897.",2/28/19,242-304,,1,13,,Zoosymposia,,,,,,,"Valdés, Á. (2019). Northeast Pacific benthic shelled sea slugs. Zoosymposia, 13(1), 242–304. https://doi.org/10.11646/zoosymposia.13.1.21"
