publication_year,firstauthor,title,reference
2010,Moore,Relative influence of habitat complexity and proximity to patch edges on seagrass epifaunal communities,"Moore, Eliza C.; Hovel, Kevin A.. 2010. Relative influence of habitat complexity and proximity to patch edges on seagrass epifaunal communities. Oikos. 119. 8. 1299-1311. 10.1111/j.1600-0706.2009.17909.x"
2008,Giesecke,Reproduction and feeding of sagitta enflata in the humboldt current system off chile,"Giesecke, Ricardo; González, Humberto E.. 2008. Reproduction and feeding of sagitta enflata in the humboldt current system off chile. ICES Journal of Marine Science. 65. 3. 361-370. 10.1093/icesjms/fsn030"
2005,Ebert,"Reproduction, diet and habitat use of leopard sharks, triakis semifasciata (girard), in humboldt bay, california, usa","Ebert, David A.; Ebert, Thomas B.. 2005. Reproduction, diet and habitat use of leopard sharks, triakis semifasciata (girard), in humboldt bay, california, usa. Marine and Freshwater Research. 56. 8. 1089-1098. 10.1071/MF05069"
1967,Hadfield,"Reproductive biology of the california vermetid gastropods serpulorbis squamigerus (carpenter, 1857) and petaloconchus montereyensis dall, 1919.","Hadfield, Michael Gale. 1967. Reproductive biology of the california vermetid gastropods serpulorbis squamigerus (carpenter, 1857) and petaloconchus montereyensis dall, 1919.. Stanford University"
1985,Solé-Cava,Reproductive isolation with little genetic divergence between urticina (=tealia) felina and u. eques (anthozoa: actiniaria),"Solé-Cava, A. M.; Thorpe, J. P.; Kaye, J. G.. 1985. Reproductive isolation with little genetic divergence between urticina (=tealia) felina and u. eques (anthozoa: actiniaria). Marine Biology. 85. 3. 279-284. 10.1007/BF00393248"
2009,Solorzano,"Response of newly hatched octopus bimaculoides fed enriched artemia salina: growth performance, ontogeny of the digestive enzyme and tissue amino acid content","Solorzano, Yesika; Viana, María Teresa; López, Lus M.; Correa, Juan Gabriel; True, Conal C.; Rosas, Carlos. 2009. Response of newly hatched octopus bimaculoides fed enriched artemia salina: growth performance, ontogeny of the digestive enzyme and tissue amino acid content. Aquaculture. 289. 1. 84-90. 10.1016/j.aquaculture.2008.12.036"
1968,Abbott,Ritterella rubra and distaplia smithi: two new colonial ascidians from the west coast of north america.,"Abbott, Donald P; Trason, Winona B. 1968. Ritterella rubra and distaplia smithi: two new colonial ascidians from the west coast of north america.. Bulletin - Southern California Academy of Sciences. 67. 3. 143-154"
1998,Herberholz,Role of mechanosensory stimuli in intraspecific agonistic encounters of the snapping shrimp (alpheus heterochaelis),"Herberholz, J.; Schmitz, B.. 1998. Role of mechanosensory stimuli in intraspecific agonistic encounters of the snapping shrimp (alpheus heterochaelis). The Biological Bulletin. 195. 2. 156-167. 10.2307/1542823"
1982,Yoshioka,Role of planktonic and benthic factors in the population dynamics of the bryozoan membranipora membranacea,"Yoshioka, Paul M.. 1982. Role of planktonic and benthic factors in the population dynamics of the bryozoan membranipora membranacea. Ecology. 63. 2. 457-468. 10.2307/1938963"
1974,Menge,"Role of resource allocation, aggression and spatial heterogeneity in coexistence of two competing intertidal starfish","Menge, Jane Lubchenco; Menge, Bruce A.. 1974. Role of resource allocation, aggression and spatial heterogeneity in coexistence of two competing intertidal starfish. Ecological Monographs. 44. 2. 189-209"
2007,Fradkin,Rotifera,"Fradkin, Steven C.. 2007. Rotifera. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 280-282"
2006,Wallace,"Rotifera, vol. 1: biology, ecology and systematics","Wallace, Robert L.; Snell, Terry W.; Ricci, Claudia; Nogrady, Thomas. 2006. Rotifera, vol. 1: biology, ecology and systematics. Backhuys"
2000,Eckert,Sea star disease and population declines at the channel islands,"Eckert, Ginny L.; John M. Engle; David J. Kushner. 2000. Sea star disease and population declines at the channel islands. 390-393"
1990,Ainley,"Seabirds of the farallon islands: ecology, dynamics, and structure of an upwelling-system community","Ainley, David G.. 1990. Seabirds of the farallon islands: ecology, dynamics, and structure of an upwelling-system community. Stanford University Press"
2021,Corrales-Ugalde,Seasonal hydromedusan feeding patterns in an eastern boundary current show consistent predation on primary consumers,"Corrales-Ugalde, Marco; Sponaugle, Su; Cowen, Robert K; Sutherland, Kelly R. 2021. Seasonal hydromedusan feeding patterns in an eastern boundary current show consistent predation on primary consumers. Journal of Plankton Research. 43. 5. 712-724. 10.1093/plankt/fbab059"
1982,Ambrose,Shelter utilization by the molluscan cephalopod octopus bimaculatus,"Ambrose, Richard F.. 1982. Shelter utilization by the molluscan cephalopod octopus bimaculatus. Marine Ecology Progress Series. 7. 1. 67-73"
2023,Chow,Shift in symbiotic lifestyle as the major process shaping the evolution of pea crabs (decapoda: brachyura: pinnotheroidea),"Chow, Lai Him; Ahyong, Shane T.; Tsang, Chandler T. T.; Lam, Yu Fung; Naruse, Tohru; Ng, Peter K. L.; Tsang, Ling Ming. 2023. Shift in symbiotic lifestyle as the major process shaping the evolution of pea crabs (decapoda: brachyura: pinnotheroidea). Molecular Phylogenetics and Evolution. 188. 107904. 10.1016/j.ympev.2023.107904"
1981,Shimek,"Shimek, r. L. 1981. Neptunea pribiloffensis (dall, 1919) and tealia crassicornis (müller, 1776), on a snail's use of babysitters.","Shimek, Ronald. 1981. Shimek, r. L. 1981. Neptunea pribiloffensis (dall, 1919) and tealia crassicornis (müller, 1776), on a snail's use of babysitters.. The Veliger. 24. 62-66"
1964,Hart,Shrimps of the genus betaeus on the pacific coast of north america with descriptions of three new species.,"Hart, Josephine F. L.. 1964. Shrimps of the genus betaeus on the pacific coast of north america with descriptions of three new species.. Proceedings of the United States National Museum. 38"
1982,Peterson,Siphon nipping: its importance to small fishes and its impact on growth of the bivalve protothaca staminea (conrad),"Peterson, Charles H.; Quammen, Millicent L.. 1982. Siphon nipping: its importance to small fishes and its impact on growth of the bivalve protothaca staminea (conrad). Journal of Experimental Marine Biology and Ecology. 63. 3. 249-268. 10.1016/0022-0981(82)90182-4"
2007,Rice,Sipuncula and echiura,"Rice, Mary E.. 2007. Sipuncula and echiura. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 288-292"
1962,Ching,"Six larval trematodes from the snail, littorina scutulata gould of san juan island, u.s.a.., and vancouver, b.c.","Ching, Hilda Lei. 1962. Six larval trematodes from the snail, littorina scutulata gould of san juan island, u.s.a.., and vancouver, b.c.. Canadian Journal of Zoology. 40. 4. 675-676. 10.1139/z62-062"
2021,Goto,Snails riding mantis shrimps: ectoparasites evolved from ancestors living as commensals on the host‚Äôs burrow wall,"Goto, Ryutaro; Takano, Tsuyoshi; Eernisse, Douglas J.; Kato, Makoto; Kano, Yasunori. 2021. Snails riding mantis shrimps: ectoparasites evolved from ancestors living as commensals on the host‚Äôs burrow wall. Molecular Phylogenetics and Evolution. 163. 107122. 10.1016/j.ympev.2021.107122"
1989,Bingham,Solitary ascidians as predators of invertebrate larvae: evidence from gut analyses and plankton samples,"Bingham, B.L.; Walters, L.J.. 1989. Solitary ascidians as predators of invertebrate larvae: evidence from gut analyses and plankton samples. Journal of Experimental Marine Biology and Ecology. 131. 2. 147-159. 10.1016/0022-0981(89)90004-X"
1965,McCormick,Some aspects of marine hydroid ecology off oregon,"McCormick, Jon Michael. 1965. Some aspects of marine hydroid ecology off oregon. Oregon State University"
1976,Gerard,"Some aspects of material dynamics and energy flow in a kelp forest in monterey bay, california","Gerard, Valrie A.. 1976. Some aspects of material dynamics and energy flow in a kelp forest in monterey bay, california"
1966,Recher,Some aspects of the ecology of migrant shorebirds,"Recher, Harry F.. 1966. Some aspects of the ecology of migrant shorebirds. Ecology. 47. 3. 393-407. 10.2307/1932979"
1960,Ching,"Some digenetic trematodes of shore birds at friday harbor, washington","Ching, Hilda Lei. 1960. Some digenetic trematodes of shore birds at friday harbor, washington. Proceedings of the Helminthological Society of Washington. 27. 1. 53-62"
1964,Dudley,Some gastrodelphyid copepods from the pacific coast of north america,"Dudley, Patricia L. (Patricia Louise). 1964. Some gastrodelphyid copepods from the pacific coast of north america. American Museum Novitates. 2194"
1968,Miller,Some observations on the ecology and behavior of lucapinella callomarginata,"Miller, Richard L.. 1968. Some observations on the ecology and behavior of lucapinella callomarginata. The Veliger. 11. 2. 130 - 132"
2009,McLellan,"Sources of food delivered to ring-billed, herring and great black-backed gull chicks in marine environments","McLellan, Nicolas R.; Shutler, Dave. 2009. Sources of food delivered to ring-billed, herring and great black-backed gull chicks in marine environments. Waterbirds. 32. 4. 507-513. 10.1675/063.032.0403"
1987,Alvariño,"Spadella pimukatharos, a new benthic chaetognath from santa catalina island, california","Alvariño, Angeles. 1987. Spadella pimukatharos, a new benthic chaetognath from santa catalina island, california. Proceedings of the Biological Society of Washington. 100. 125-133"
2000,Davis,Spatial and seasonal patterns of habitat partitioning in a guild of southern california tidepool fishes,"Davis, J. L. D.. 2000. Spatial and seasonal patterns of habitat partitioning in a guild of southern california tidepool fishes. Marine Ecology Progress Series. 196. 253-268. DOI 10.3354/meps196253"
1983,Fukuyama,Specialized feeding in mitrid gastropods - evidence from a temperate species - mitra idae melville,"Fukuyama, A.; Nybakken, J.. 1983. Specialized feeding in mitrid gastropods - evidence from a temperate species - mitra idae melville. The Veliger. 26. 96-100"
1983,Tegner,Spiny lobsters and sea urchins: analysis of a predator-prey interaction,"Tegner, M. J.; Levin, L. A.. 1983. Spiny lobsters and sea urchins: analysis of a predator-prey interaction. Journal of Experimental Marine Biology and Ecology. 73. 2. 125-150. 10.1016/0022-0981(83)90079-5"
2000,Goddard,Sponge prey of chromodoris macfarlandi,"Goddard, Jeffrey H. R.. 2000. Sponge prey of chromodoris macfarlandi. Opisthobranch Newsletter. 26. 2. 10-Sep"
2023,Carney,Stable isotope-determined diets of black oystercatchers haematopus bachmani in the northern gulf of alaska,"Carney, Brooke; Tessler, David; Coletti, Heather; Welker, Jeffrey M.; Causey, Douglas. 2023. Stable isotope-determined diets of black oystercatchers haematopus bachmani in the northern gulf of alaska. Marine Ornithology. 51. 123-135"
2015,Wall,"Status of exosphaeroma amplicauda (stimpson, 1857), e. aphrodita (boone, 1923) and description of three new species (crustacea, isopoda, sphaeromatidae) from the north-eastern pacific","Wall, Adam R.; Bruce, Niel L.; Wetzer, Regina. 2015. Status of exosphaeroma amplicauda (stimpson, 1857), e. aphrodita (boone, 1923) and description of three new species (crustacea, isopoda, sphaeromatidae) from the north-eastern pacific. ZooKeys. 504. Nov-58. 10.3897/zookeys.504.8049"
1989,Larson,"Stauromedusae of the genus manania (= thaumatoscyphus) (cnidaria, scyphozoa) in the northeast pacific, including descriptions of new species manania gwilliami and manania handi","Larson, Ronald J.; Fautin, Daphne G.. 1989. Stauromedusae of the genus manania (= thaumatoscyphus) (cnidaria, scyphozoa) in the northeast pacific, including descriptions of new species manania gwilliami and manania handi. Canadian Journal of Zoology. 67. 6. 1543-1549. 10.1139/z89-219"
1951,Reeder,Stomach analysis of a group of shorebirds,"Reeder, William G.. 1951. Stomach analysis of a group of shorebirds. The Condor. 53. 1. 43-45. 10.2307/1364586"
1959,Barnes,Stomach contents and microfeeding of some common cirripedes,"Barnes, H.. 1959. Stomach contents and microfeeding of some common cirripedes. Canadian Journal of Zoology. 37. 3. 231-236. 10.1139/z59-027"
1982,Carter,"Stomach contents of immature lobsters (homarus americanus) from placentia bay, newfoundland","Carter, J. A.; Steele, D. H.. 1982. Stomach contents of immature lobsters (homarus americanus) from placentia bay, newfoundland. Canadian Journal of Zoology. 60. 3. 337-347. 10.1139/z82-045"
1981,Cross,Structure of a rocky intertidal fish assemblage,"Cross, Jeffrey N.. 1981. Structure of a rocky intertidal fish assemblage. University of Washington"
1980,Lawler,Studies on amyloodinium ocellatum (dinoflagellata) in mississippi sound: natural and experimental hosts,"Lawler, Adrian. 1980. Studies on amyloodinium ocellatum (dinoflagellata) in mississippi sound: natural and experimental hosts. Gulf and Caribbean Research. 6. 4. 403-413. 10.18785/grr.0604.08"
1959,Anderson,"Studies on the cardiac stomach of a starfish, patiria miniata (brandt)","Anderson, John Maxwell. 1959. Studies on the cardiac stomach of a starfish, patiria miniata (brandt). The Biological Bulletin. 117. 2. 185-201. 10.2307/1538899"
1971,McBeth,Studies on the food of nudibranchs,"McBeth, James W.. 1971. Studies on the food of nudibranchs. The Veliger. 14. 2. 158-161"
1943,Johnson,Studies on the life history of the marine annelid nereis vexillosa,"Johnson, Martin W.. 1943. Studies on the life history of the marine annelid nereis vexillosa. The Biological Bulletin. 84. 1. 106-114. 10.2307/1538053"
1903,Caullery,Sur la structure nucleaire d'un infusoire parasite des actinies,"Caullery, M.; Mesnil, F.. 1903. Sur la structure nucleaire d'un infusoire parasite des actinies. Comptes rendus hebdomadaires des séances et mémoires de la Société de biologie. 55. 11. 806-809"
1965,Duerr,"Survey of digenetic trematode parasitism in some prosobranch gastropods of the cape arago region, oregon","Duerr, Frederick G. 1965. Survey of digenetic trematode parasitism in some prosobranch gastropods of the cape arago region, oregon. The Veliger. 8. 42"
2023,Bauer,Symbioses,"Bauer, Raymond T.. 2023. Symbioses. Shrimps: Their Diversity, Intriguing Adaptations and Varied Lifestyles. Springer International Publishing. 515-581"
1973,Burreson,"Symbiotic ciliates from solitary ascidians in the pacific northwest, with a description of parahypocoma rhamphisokarya n. sp.","Burreson, Eugene M.. 1973. Symbiotic ciliates from solitary ascidians in the pacific northwest, with a description of parahypocoma rhamphisokarya n. sp.. Transactions of the American Microscopical Society. 92. 3. 517-522. 10.2307/3225258"
2000,Curran,"Syncoelium vermilionensis sp. n., (hemiuroidea: syncoeliidae) and new records for members of azygiidae, ptychogonimidae, and syncoeliidae parasitizing elasmobranchs in the gulf of california","Curran, Stephen S.; Overstreet, Robin M.. 2000. Syncoelium vermilionensis sp. n., (hemiuroidea: syncoeliidae) and new records for members of azygiidae, ptychogonimidae, and syncoeliidae parasitizing elasmobranchs in the gulf of california. Metazoan Parasites in the Neotropics: A Systematic and Ecological Perspective. 117-133"
1997,Wasson,Systematic revision of colonial kamptozoans (entoprocts) of the pacific coast of north america,"Wasson, Kerstin. 1997. Systematic revision of colonial kamptozoans (entoprocts) of the pacific coast of north america. Zoological Journal of the Linnean Society. 121. 1. Jan-63. 10.1111/j.1096-3642.1997.tb00146.x"
2007,Behrens,Temperature and diet effects on omnivorous fish performance: implications for the latitudinal diversity gradient in herbivorous fishes,"Behrens, Michael D; Lafferty, Kevin D. 2007. Temperature and diet effects on omnivorous fish performance: implications for the latitudinal diversity gradient in herbivorous fishes. Canadian Journal of Fisheries and Aquatic Sciences. 64. 6. 867-873. 10.1139/f07-063"
2023,Moretto,"Temperature-dependent feeding behavior in the brown box crab, lopholithodes foraminatus","Moretto, Wave I.; Taylor, Jennifer R. A.. 2023. Temperature-dependent feeding behavior in the brown box crab, lopholithodes foraminatus. Frontiers in Marine Science. 10.3389/fmars.2023.1241950"
1976,Fretter,The anatomy and feeding of the volutacean prosobranch volvarina taeniolata mörch,"Fretter, Vera A. 1976. The anatomy and feeding of the volutacean prosobranch volvarina taeniolata mörch. Journal of Molluscan Studies. 42. 3. 327-336. 10.1093/oxfordjournals.mollus.a065341"
1971,Lloyd,The biology of searlesia dira (mollusca: gastropoda) with emphasis on feeding,"Lloyd, Margaret Champlin. 1971. The biology of searlesia dira (mollusca: gastropoda) with emphasis on feeding. University of Michigan"
1924,Copeland,The chemical sense and feeding behavior of nereis virens. Sars,"Copeland, Manton; Wieman, H. L.. 1924. The chemical sense and feeding behavior of nereis virens. Sars. Biological Bulletin. 47. 4. 231-238. 10.2307/1536502"
1996,Blake;,The cnidaria,"Blake; Scott, Paul H.. 1996. The cnidaria. Taxonomic Atlas of the Benthic Fauna of the Santa Maria Basin and Western Santa Barbara Channel"
1970,Stephens,"The comparative ecology of three sympatric species of california blennies of the genus hypsoblennius gill (teleostomi, blenniidae)","Stephens Jr., John S.; Johnson, Robert K.; Key, Gerald S.; McCosker, John E.. 1970. The comparative ecology of three sympatric species of california blennies of the genus hypsoblennius gill (teleostomi, blenniidae). Ecological Monographs. 40. 2. 213-233. 10.2307/1942296"
2009,Byrnes,The consequences of consumer diversity loss: different answers from different experimental designs,"Byrnes, Jarrett E.; Stachowicz, John J.. 2009. The consequences of consumer diversity loss: different answers from different experimental designs. Ecology. 90. 10. 2879-2888. 10.1890/08-1073.1"
1990,Putman,"The diet and feeding selectivity of the chiton stenoplax heathiana berry, 1946 (mollusca: polyplacophora)","Putman, Barry Folsom. 1990. The diet and feeding selectivity of the chiton stenoplax heathiana berry, 1946 (mollusca: polyplacophora). The Veliger. 33. 4. 372-374"
2008,Yokoyama,The diet of ophionereis reticulata (echinodermata: ophiuroidea) in southeastern brazil,"Yokoyama, Leonardo Q.; Amaral, Antonia C. Z.. 2008. The diet of ophionereis reticulata (echinodermata: ophiuroidea) in southeastern brazil. Revista Brasileira de Zoologia. 25. 3. 576-578. 10.1590/S0101-81752008000300029"
1981,Shinn,The diet of three species of umagillid neorhabdocoel turbellarians inhabiting the intestine of echinoids,"Shinn, George L. 1981. The diet of three species of umagillid neorhabdocoel turbellarians inhabiting the intestine of echinoids. Hydrobiologia. 84. 155-162"
1979,Fauchald,The diet of worms: a study of polychaete feeding guilds,"Fauchald, Kristian; Jumars, Peter A. 1979. The diet of worms: a study of polychaete feeding guilds. Oceanography and Marine Biology, Annual Review. 17. 193-284"
2017,Lozano-Cobo,The discovery of acanthocephalans parasitizing chaetognaths,"Lozano-Cobo, Horacio; Gómez-Gutiérrez, Jaime; Franco-Gordo, Carmen; Prado-Rosas, María Del Carmen Gómez Del. 2017. The discovery of acanthocephalans parasitizing chaetognaths. Acta Parasitologica. 62. 2. 10.1515/ap-2017-0048"
1975,Holmberg,"The ecology of seven species of shorebirds (charadrii) in north humboldt bay, california - 1970 to 1971","Holmberg, Nevin D.. 1975. The ecology of seven species of shorebirds (charadrii) in north humboldt bay, california - 1970 to 1971. Humboldt State University"
2001,Pierotti,The ecology of western gulls in habitats varying in degree of urban influence,"Pierotti, Raymond; Annett, Cynthia. 2001. The ecology of western gulls in habitats varying in degree of urban influence. Avian Ecology and Conservation in an Urbanizing World. Springer US. 307-329"
1998,Cook,The feeding biology of juvenile cottids,"Cook, Amy Elizabeth. 1998. The feeding biology of juvenile cottids. University of California Irvine"
1992,McAdams,"The feeding preferences of the sculpins, scorpaenichthys marmoratus and leptocottus armatus, between sand crangon and small-eyed shrimp, crangon nigricauda and heptacarpus cf. carinatus","McAdams, Timothy R; Kroll, Gigi; Loehr, Keith. 1992. The feeding preferences of the sculpins, scorpaenichthys marmoratus and leptocottus armatus, between sand crangon and small-eyed shrimp, crangon nigricauda and heptacarpus cf. carinatus. Bulletin of the Southern California Academy of Sciences. 91. 1. 44-48"
2007,Avilés,The first report of phoronis sp. (Phoronida) in red abalone (haliotis rufescens) in chile,"Avilés, Fabián; Rozbaczylo, Nicolás; Godoy, Marcos; Muñoz, Gerardo. 2007. The first report of phoronis sp. (Phoronida) in red abalone (haliotis rufescens) in chile. Journal of Shellfish Research. 26. 3. 859-861. 10.2983/0730-8000(2007)26[859:TFROPS]2.0.CO;2"
1979,Bernard,The food of hecate strait crabs august 1977,"Bernard, F R. 1979. The food of hecate strait crabs august 1977. Department of Fisheries and the Environment"
1974,Robertson,"The food of nesting double-crested and pelagic cormorants at mandarte island, british columbia, with notes on feeding ecology","Robertson, Ian. 1974. The food of nesting double-crested and pelagic cormorants at mandarte island, british columbia, with notes on feeding ecology. The Condor. 76. 3. 346-348. 10.2307/1366353"
1959,Feder,"The food of the starfish, pisaster ochraceus, along the california coast","Feder, Howard. 1959. The food of the starfish, pisaster ochraceus, along the california coast. Ecology. 40. 721-724. 10.2307/1929828"
1988,Müller,"The genus gnathia leach (isopoda) from the santa marta area, northern colombia, with a review of gnathiidea from the caribbean sea and gulf of mexico","Müller, Hans-Georg. 1988. The genus gnathia leach (isopoda) from the santa marta area, northern colombia, with a review of gnathiidea from the caribbean sea and gulf of mexico. 10.1163/26660644-05801008"
1980,Burger,"The habits and life history of oedoparena glauca (diptera: dryomyzidae), a predator of barnacles","Burger, J. F.; Anderson, J. R.; Knudsen, M. F.. 1980. The habits and life history of oedoparena glauca (diptera: dryomyzidae), a predator of barnacles. Proceedings of the Entomological Society of Washington. 82. 360-377"
1974,Walder,"The helminth parasites of embiotocid fishes. Iii. A new species of the genus cucullanellus törnquist, 1931 (nematoda: cucullanidae) from the shiner perch, cymatogaster aggregata gibbons","Walder, Gordon L.; Arai, Hisao P.. 1974. The helminth parasites of embiotocid fishes. Iii. A new species of the genus cucullanellus törnquist, 1931 (nematoda: cucullanidae) from the shiner perch, cymatogaster aggregata gibbons. Journal of the Fisheries Research Board of Canada. 31. 2. 205-209. 10.1139/f74-033"
1967,Spilman,The heteromeroid intertidal beetles,"Spilman, T J. 1967. The heteromeroid intertidal beetles. Pacific Insects"
1964,Hopkins,"The host relations of a pinnotherid crab, opisthopus transversus rathbun","Hopkins, Thomas S; Scanland, Thomas Boyd. 1964. The host relations of a pinnotherid crab, opisthopus transversus rathbun. Bulletin - Southern California Academy of Sciences. 6. 4. 175-180"
2011,Kleiber,The importance of seahorses and pipefishes in the diet of marine animals,"Kleiber, D.; Blight, L. K.; Caldwell, I. R.; Vincent, A. C. J.. 2011. The importance of seahorses and pipefishes in the diet of marine animals. Reviews in Fish Biology and Fisheries. 21. 2. 205-223. 10.1007/s11160-010-9167-5"
2000,Mills,"The life cycle of halimedusa typus, with discussion of other species closely related to the family halimedusidae (hydrozoa, capitata, anthomedusae)","Mills, Claudia E.. 2000. The life cycle of halimedusa typus, with discussion of other species closely related to the family halimedusidae (hydrozoa, capitata, anthomedusae). Scientia Marina. 64. S1. 97-106. 10.3989/scimar.2000.64s197"
1976,Rees,"The life cycle of hydrocoryne bodegensis, new species (coelenterata, hydrozoa) from california, and a comparison with hydrocoryne miurensis from japan.","Rees, JT; C, Hand; C, Mills. 1976. The life cycle of hydrocoryne bodegensis, new species (coelenterata, hydrozoa) from california, and a comparison with hydrocoryne miurensis from japan.. The Wasmann Journal of Biology. 34. 1. 108-118"
1954,Reish,The life history and ecology of the polychaetous annelid nereis grubei (kinberg),"Reish, Donald J.. 1954. The life history and ecology of the polychaetous annelid nereis grubei (kinberg). University of Southern California Press"
1979,Brinckmann-Voss,"The life-cycle of bythotiara huntsmani (fraser 1911) (calycopsidae, hydrozoa, cnidaria)","Brinckmann-Voss, Anita. 1979. The life-cycle of bythotiara huntsmani (fraser 1911) (calycopsidae, hydrozoa, cnidaria). Canadian Journal of Zoology. 57. 6. 1226-1231. 10.1139/z79-157"
1932,Laubenfels,The marine and fresh-water sponges of california,"Laubenfels, M. W.. 1932. The marine and fresh-water sponges of california"
1984,Macquitty,The marine halacaroidea (acari) of california,"Macquitty, Miranda. 1984. The marine halacaroidea (acari) of california. Journal of Natural History. 18. 4. 527-554. 10.1080/00222938400770451"
1977,Brusca,"The marine isopod crustacea of the gulf of california. 1, family idoteidae. American museum novitates ; no. 2634","Brusca, Richard C.; Wallerstein, Barry R.. 1977. The marine isopod crustacea of the gulf of california. 1, family idoteidae. American museum novitates ; no. 2634"
1986,Vermeer,"The nesting biology of mew gulls (larus canus) on kennedy lake, british columbia, canada: comparison with mew gulls in northern europe","Vermeer, Kees; Devito, Kevin. 1986. The nesting biology of mew gulls (larus canus) on kennedy lake, british columbia, canada: comparison with mew gulls in northern europe. Colonial Waterbirds. 9. 1. 95-103. 10.2307/1521148"
2007,Lowry,The ontogeny of feeding behavior and cranial morphology in the leopard shark triakis semifasciata (girard 1854): a longitudinal perspective,"Lowry, Dayv; Motta, Philip J.; Hueter, Robert E.. 2007. The ontogeny of feeding behavior and cranial morphology in the leopard shark triakis semifasciata (girard 1854): a longitudinal perspective. Journal of Experimental Marine Biology and Ecology. 341. 2. 153-167. 10.1016/j.jembe.2006.07.018"
1919,Hausman,"The orange striped anemone (sagartia luciae, verrill). An ecological study.","Hausman, Leon Augustus. 1919. The orange striped anemone (sagartia luciae, verrill). An ecological study.. The Biological Bulletin. 37. 6. 363-370. 10.2307/1536371"
2016,Campos,"The pinnotheridae of the northeastern pacific (alaska to mexico): zoogeographical remarks and new bivalve hosts (crustacea, brachyura, pinnotheridae)","Campos, Ernesto. 2016. The pinnotheridae of the northeastern pacific (alaska to mexico): zoogeographical remarks and new bivalve hosts (crustacea, brachyura, pinnotheridae). Zootaxa. 4170. 2. 311-329. 10.11646/zootaxa.4170.2.5"
1969,Taylor,The predator-prey relationship between the octopus (octopus bimaculatus) and the california scorpionfish (scorpaena guttata),"Taylor, Peter B.; Chen, Lo-Chai. 1969. The predator-prey relationship between the octopus (octopus bimaculatus) and the california scorpionfish (scorpaena guttata)"
1987,Vermeer,"The relationship between plankton-feeding bonaparte's and mew gulls and tidal upwelling at active pass, british columbia","Vermeer, Kees; Szabo, Ddy; Greisman, Paul. 1987. The relationship between plankton-feeding bonaparte's and mew gulls and tidal upwelling at active pass, british columbia. Journal of Plankton Research. 9. 3. 483-501. https://doi.org/10.1093/plankt/9.3.483"
1983,Marsh,The role of avian predators in an oregon rocky intertidal community,"Marsh, Christopher P. 1983. The role of avian predators in an oregon rocky intertidal community. Oregon State University"
1992,Kim,The role of drift kelp in the population ecology of a diopatra ornata moore (polychaeta: onuphidae) ecotone,"Kim, Stacy L.. 1992. The role of drift kelp in the population ecology of a diopatra ornata moore (polychaeta: onuphidae) ecotone. Journal of Experimental Marine Biology and Ecology. 156. 2. 253-272. 10.1016/0022-0981(92)90250-E"
2023,Schuster,The role of kelp availability and quality on the energetic state and thermal tolerance of sea urchin and gastropod grazers,"Schuster, Jasmin M.; Bates, Amanda E.. 2023. The role of kelp availability and quality on the energetic state and thermal tolerance of sea urchin and gastropod grazers. Journal of Experimental Marine Biology and Ecology. 569. 151947. 10.1016/j.jembe.2023.151947"
2017,Dobkowski,The role of kelp crabs as consumers in bull kelp forests‚Äîevidence from laboratory feeding trials and field enclosures,"Dobkowski, Katie. 2017. The role of kelp crabs as consumers in bull kelp forests: evidence from laboratory feeding trials and field enclosures. PeerJ. 5. e3372. 10.7717/peerj.3372"
1988,Stebbins,The role of sea urchins in mediating fish predation on a commensal isopod (crustacea: isopoda),"Stebbins, Timothy D.. 1988. The role of sea urchins in mediating fish predation on a commensal isopod (crustacea: isopoda). Journal of Experimental Marine Biology and Ecology. 124. 2. 97-113. 10.1016/0022-0981(88)90114-1"
2016,Dunne,The roles and impacts of human hunter-gatherers in north pacific marine food webs,"Dunne, Jennifer A.; Maschner, Herbert; Betts, Matthew W.; Huntly, Nancy; Russell, Roly; Williams, Richard J.; Wood, Spencer A.. 2016. The roles and impacts of human hunter-gatherers in north pacific marine food webs. Scientific Reports. 6. 1. 21179. 10.1038/srep21179"
2010,"Rudman, W. B.",The sea slug forum - chromodoris macfarlandi on aplysilla polyraphis,"Rudman, W. B. 2010. The sea slug forum - chromodoris macfarlandi on aplysilla polyraphis. http://www.seaslugforum.net/find/2499. Accessed 6/11/2024"
2010,"Rudman, W. B.",The sea slug forum - sponge prey of chromodoris macfarlandi,"Rudman, W. B. 2010. The sea slug forum - sponge prey of chromodoris macfarlandi. http://www.seaslugforum.net/find/2561. Accessed 6/11/2024."
2004,Bousfield,The talitroidean amphipod family najnidae in the north pacific region: systematics and distributional ecology,"Bousfield, Edward Lloyd; Marcoux, Pierre. 2004. The talitroidean amphipod family najnidae in the north pacific region: systematics and distributional ecology. Amphipacifica: Journal of Systematic Biology. 3. 4. Mar-44"
1986,Molinski,Three new rearranged spongian diterpenes from chromodoris macfarlandi: reappraisal of the structures of dendrillolides a and b,"Molinski, Tadeusz F.; Faulkner, D. John; He, Cun Heng; Van Duyne, Gregory D.; Clardy, Jon. 1986. Three new rearranged spongian diterpenes from chromodoris macfarlandi: reappraisal of the structures of dendrillolides a and b. The Journal of Organic Chemistry. 51. 24. 4564-4567. 10.1021/jo00374a014"
