publication_year,firstauthor,title,reference,reference_number,author,year,link_or_doi
2009,Byrnes,The consequences of consumer diversity loss: different answers from different experimental designs,"Byrnes, Jarrett E.; Stachowicz, John J.. 2009. The consequences of consumer diversity loss: different answers from different experimental designs. Ecology. 90. 10. 2879-2888. 10.1890/08-1073.1",236,Byrnes and Stachowicz,2009,NA
NA,NA,The diet and feeding selectivity of the chiton stenoplax heathiana,NA,178,Barry Folsom Putman,1990,NA
1990,Putman,"The diet and feeding selectivity of the chiton stenoplax heathiana berry, 1946 (mollusca: polyplacophora)","Putman, Barry Folsom. 1990. The diet and feeding selectivity of the chiton stenoplax heathiana berry, 1946 (mollusca: polyplacophora). The Veliger. 33. 4. 372-374",311,Putman,1990,NA
2008,Yokoyama,The diet of ophionereis reticulata (echinodermata: ophiuroidea) in southeastern brazil,"Yokoyama, Leonardo Q.; Amaral, Antonia C. Z.. 2008. The diet of ophionereis reticulata (echinodermata: ophiuroidea) in southeastern brazil. Revista Brasileira de Zoologia. 25. 3. 576-578. 10.1590/S0101-81752008000300029",310,Yokoyama and Amaral,2008,NA
1981,Shinn,The diet of three species of umagillid neorhabdocoel turbellarians inhabiting the intestine of echinoids,"Shinn, George L. 1981. The diet of three species of umagillid neorhabdocoel turbellarians inhabiting the intestine of echinoids. Hydrobiologia. 84. 155-162",303,Shinn,1981,NA
1979,Fauchald,The diet of worms: a study of polychaete feeding guilds,"Fauchald, Kristian; Jumars, Peter A. 1979. The diet of worms: a study of polychaete feeding guilds. Oceanography and Marine Biology, Annual Review. 17. 193-284",366,Fauchald,1979,NA
2017,Lozano-Cobo,The discovery of acanthocephalans parasitizing chaetognaths,"Lozano-Cobo, Horacio; Gómez-Gutiérrez, Jaime; Franco-Gordo, Carmen; Prado-Rosas, María Del Carmen Gómez Del. 2017. The discovery of acanthocephalans parasitizing chaetognaths. Acta Parasitologica. 62. 2. 10.1515/ap-2017-0048",221,"Lozano-Cobo, H. et al.",2017,12/20/2023 12:14PM
1975,Holmberg,"The ecology of seven species of shorebirds (charadrii) in north humboldt bay, california - 1970 to 1971","Holmberg, Nevin D.. 1975. The ecology of seven species of shorebirds (charadrii) in north humboldt bay, california - 1970 to 1971. Humboldt State University",402,Holmberg,1975,NA
2001,Pierotti,The ecology of western gulls in habitats varying in degree of urban influence,"Pierotti, Raymond; Annett, Cynthia. 2001. The ecology of western gulls in habitats varying in degree of urban influence. Avian Ecology and Conservation in an Urbanizing World. Springer US. 307-329",418,Pierotti and Annett,2001,NA
1998,Cook,The feeding biology of juvenile cottids,"Cook, Amy Elizabeth. 1998. The feeding biology of juvenile cottids. University of California Irvine",354,Cook,1998,NA
NA,NA,"The feeding ecology of farallon seabirds. In seabirds of the farallon islands: ecology, dynamics, and structure","Ainley, D. G., G. S. Strong, T. M. Penniman, and R. J. Boekelheide (1990). The feeding ecology of Farallon seabirds. In Seabirds of the Farallon Islands: Ecology, Dynamics, and Structure of an Upwelling-System Community (D. G. Ainley and R. J. Boekelheide, Editors), Stanford University Press, Stanford, CA, USA. pp. 51‚Äì127.",416,Ainley,1990,"Ainley, D. G., G. S. Strong, T. M. Penniman, and R. J. Boekelheide (1990). The feeding ecology of Farallon seabirds. In Seabirds of the Farallon Islands: Ecology, Dynamics, and Structure of an Upwelling-System Community (D. G. Ainley and R. J. Boekelheide, Editors), Stanford University Press, Stanford, CA, USA. pp. 51‚Äì127."
1992,McAdams,"The feeding preferences of the sculpins, scorpaenichthys marmoratus and leptocottus armatus, between sand crangon and small-eyed shrimp, crangon nigricauda and heptacarpus cf. carinatus","McAdams, Timothy R; Kroll, Gigi; Loehr, Keith. 1992. The feeding preferences of the sculpins, scorpaenichthys marmoratus and leptocottus armatus, between sand crangon and small-eyed shrimp, crangon nigricauda and heptacarpus cf. carinatus. Bulletin of the Southern California Academy of Sciences. 91. 1. 44-48",365,McAdams,1992,NA
2007,Avilés,The first report of phoronis sp. (Phoronida) in red abalone (haliotis rufescens) in chile,"Avilés, Fabián; Rozbaczylo, Nicolás; Godoy, Marcos; Muñoz, Gerardo. 2007. The first report of phoronis sp. (Phoronida) in red abalone (haliotis rufescens) in chile. Journal of Shellfish Research. 26. 3. 859-861. 10.2983/0730-8000(2007)26[859:TFROPS]2.0.CO;2",207,"AVIL√âS, FABI√ÅN, ROZBACZYLO, NICOL√ÅS, GODOY, MARCOS, and MU√ëOZ, GERARDO",2007,12/20/2023 12:14PM
NA,NA,"The food composition of the symbiotic crab pinnixa rathbunae sakai, 1934 (brachyura: pinnotheridae) from burrows of the spoon worm urechis unicinctus (von drasche, 1881) (echiurida: urechidae) in vostok bay of the sea of japan","Burukovsky, R. N., & Marin, I. N. (2018). The food composition of the symbiotic crab Pinnixa rathbunae Sakai, 1934 (Brachyura: Pinnotheridae) from burrows of the spoon worm Urechis unicinctus (von Drasche, 1881) (Echiurida: Urechidae) in Vostok Bay of the Sea of Japan. Arthropoda Selecta, 27(1), 319324–0. https://doi.org/10.15298/arthsel.27.4.06",300,Burukovsky and Marin,2018,NA
1979,Bernard,The food of hecate strait crabs august 1977,"Bernard, F R. 1979. The food of hecate strait crabs august 1977. Department of Fisheries and the Environment",202,Bernard,1979,NA
1974,Robertson,"The food of nesting double-crested and pelagic cormorants at mandarte island, british columbia, with notes on feeding ecology","Robertson, Ian. 1974. The food of nesting double-crested and pelagic cormorants at mandarte island, british columbia, with notes on feeding ecology. The Condor. 76. 3. 346-348. 10.2307/1366353",414,Robertson,1974,NA
1959,Feder,"The food of the starfish, pisaster ochraceus, along the california coast","Feder, Howard. 1959. The food of the starfish, pisaster ochraceus, along the california coast. Ecology. 40. 721-724. 10.2307/1929828",27,Howard M. Feder,1959,NA
1988,Müller,"The genus gnathia leach (isopoda) from the santa marta area, northern colombia, with a review of gnathiidea from the caribbean sea and gulf of mexico","Müller, Hans-Georg. 1988. The genus gnathia leach (isopoda) from the santa marta area, northern colombia, with a review of gnathiidea from the caribbean sea and gulf of mexico. 10.1163/26660644-05801008",427,Muller,1988,NA
1980,Burger,"The habits and life history of oedoparena glauca (diptera: dryomyzidae), a predator of barnacles","Burger, J. F.; Anderson, J. R.; Knudsen, M. F.. 1980. The habits and life history of oedoparena glauca (diptera: dryomyzidae), a predator of barnacles. Proceedings of the Entomological Society of Washington. 82. 360-377",NA,NA,NA,NA
1974,Walder,"The helminth parasites of embiotocid fishes. Iii. A new species of the genus cucullanellus törnquist, 1931 (nematoda: cucullanidae) from the shiner perch, cymatogaster aggregata gibbons","Walder, Gordon L.; Arai, Hisao P.. 1974. The helminth parasites of embiotocid fishes. Iii. A new species of the genus cucullanellus törnquist, 1931 (nematoda: cucullanidae) from the shiner perch, cymatogaster aggregata gibbons. Journal of the Fisheries Research Board of Canada. 31. 2. 205-209. 10.1139/f74-033",NA,NA,NA,NA
1967,Spilman,The heteromeroid intertidal beetles,"Spilman, T J. 1967. The heteromeroid intertidal beetles. Pacific Insects",NA,NA,NA,NA
1964,Hopkins,"The host relations of a pinnotherid crab, opisthopus transversus rathbun","Hopkins, Thomas S; Scanland, Thomas Boyd. 1964. The host relations of a pinnotherid crab, opisthopus transversus rathbun. Bulletin - Southern California Academy of Sciences. 6. 4. 175-180",295,Hopkins and Scanland,1964,NA
2011,Kleiber,The importance of seahorses and pipefishes in the diet of marine animals,"Kleiber, D.; Blight, L. K.; Caldwell, I. R.; Vincent, A. C. J.. 2011. The importance of seahorses and pipefishes in the diet of marine animals. Reviews in Fish Biology and Fisheries. 21. 2. 205-223. 10.1007/s11160-010-9167-5",149,D. Kleiber ‚Ä¢ L. K. Blight ‚Ä¢ I. R. Caldwell ‚Ä¢ A. C. J. Vincent,2011,NA
2000,Mills,"The life cycle of halimedusa typus, with discussion of other species closely related to the family halimedusidae (hydrozoa, capitata, anthomedusae)","Mills, Claudia E.. 2000. The life cycle of halimedusa typus, with discussion of other species closely related to the family halimedusidae (hydrozoa, capitata, anthomedusae). Scientia Marina. 64. S1. 97-106. 10.3989/scimar.2000.64s197",NA,NA,NA,NA
1976,Rees,"The life cycle of hydrocoryne bodegensis, new species (coelenterata, hydrozoa) from california, and a comparison with hydrocoryne miurensis from japan.","Rees, JT; C, Hand; C, Mills. 1976. The life cycle of hydrocoryne bodegensis, new species (coelenterata, hydrozoa) from california, and a comparison with hydrocoryne miurensis from japan.. The Wasmann Journal of Biology. 34. 1. 108-118",NA,NA,NA,NA
1954,Reish,The life history and ecology of the polychaetous annelid nereis grubei (kinberg),"Reish, Donald J.. 1954. The life history and ecology of the polychaetous annelid nereis grubei (kinberg). University of Southern California Press",342,Reish,1954,NA
1979,Brinckmann-Voss,"The life-cycle of bythotiara huntsmani (fraser 1911) (calycopsidae, hydrozoa, cnidaria)","Brinckmann-Voss, Anita. 1979. The life-cycle of bythotiara huntsmani (fraser 1911) (calycopsidae, hydrozoa, cnidaria). Canadian Journal of Zoology. 57. 6. 1226-1231. 10.1139/z79-157",83,Brinckmann and Voss,1979,NA
NA,NA,"The life-cycle of bythotiara huntsmani (fraser 1911) (calycopsidae,hydrozoa, cnidaria",NA,368,Brinckman-Voss,1978,NA
1932,Laubenfels,The marine and fresh-water sponges of california,"Laubenfels, M. W.. 1932. The marine and fresh-water sponges of california",NA,NA,NA,NA
1984,Macquitty,The marine halacaroidea (acari) of california,"Macquitty, Miranda. 1984. The marine halacaroidea (acari) of california. Journal of Natural History. 18. 4. 527-554. 10.1080/00222938400770451",NA,NA,NA,NA
1977,Brusca,"The marine isopod crustacea of the gulf of california. 1, family idoteidae. American museum novitates ; no. 2634","Brusca, Richard C.; Wallerstein, Barry R.. 1977. The marine isopod crustacea of the gulf of california. 1, family idoteidae. American museum novitates ; no. 2634",NA,NA,NA,NA
NA,NA,The metazoan parasite fauna of grebes (aves: podicipediformes) and its relationship to the birds' biology,"Storer, R. W. (2000). The metazoan parasite fauna of grebes (Aves: Podicipediformes) and its relationship to the birds' biology. Miscellaneous Publications-Museum of Zoology, University of Michigan, 188.",412,Storer,2000,NA
NA,NA,The model organism hermissenda crassicornis (gastropoda: heterobranchia) is a species complex,"Lindsay, T., & Valdés, Á. (2016). The Model Organism Hermissenda crassicornis (Gastropoda: Heterobranchia) Is a Species Complex. PLOS ONE, 11(4), e0154265. https://doi.org/10.1371/journal.pone.0154265",437,Lindsay,2016,NA
1986,Vermeer,"The nesting biology of mew gulls (larus canus) on kennedy lake, british columbia, canada: comparison with mew gulls in northern europe","Vermeer, Kees; Devito, Kevin. 1986. The nesting biology of mew gulls (larus canus) on kennedy lake, british columbia, canada: comparison with mew gulls in northern europe. Colonial Waterbirds. 9. 1. 95-103. 10.2307/1521148",408,Vermeer,1986,NA
2007,Lowry,The ontogeny of feeding behavior and cranial morphology in the leopard shark triakis semifasciata (girard 1854): a longitudinal perspective,"Lowry, Dayv; Motta, Philip J.; Hueter, Robert E.. 2007. The ontogeny of feeding behavior and cranial morphology in the leopard shark triakis semifasciata (girard 1854): a longitudinal perspective. Journal of Experimental Marine Biology and Ecology. 341. 2. 153-167. 10.1016/j.jembe.2006.07.018",116,"Dayv Lowrya, Philip J.Mottaa, Robert E.Hueterb",2007,NA
NA,NA,"The opisthobranchs of cape arago, oregon, with notes on their biology and a summary of benthic opisthobranchs known from oregon","Goddard, J. H. R. (1984). The opisthobranchs of Cape Arago, Oregon, with notes on their biology and a summary of benthic opisthobranchs known from Oregon. The Opisthobranchs of Cape Arago, Oregon, with Notes on Their Biology and a Summary of Benthic Opisthobranchs Known from Oregon, 27(2), 143–163.",261,Jeff Goddard,1984,NA
1919,Hausman,"The orange striped anemone (sagartia luciae, verrill). An ecological study.","Hausman, Leon Augustus. 1919. The orange striped anemone (sagartia luciae, verrill). An ecological study.. The Biological Bulletin. 37. 6. 363-370. 10.2307/1536371",309,Hausman,1919,NA
2016,Campos,"The pinnotheridae of the northeastern pacific (alaska to mexico): zoogeographical remarks and new bivalve hosts (crustacea, brachyura, pinnotheridae)","Campos, Ernesto. 2016. The pinnotheridae of the northeastern pacific (alaska to mexico): zoogeographical remarks and new bivalve hosts (crustacea, brachyura, pinnotheridae). Zootaxa. 4170. 2. 311-329. 10.11646/zootaxa.4170.2.5",294,Campos,2016,NA
1969,Taylor,The predator-prey relationship between the octopus (octopus bimaculatus) and the california scorpionfish (scorpaena guttata),"Taylor, Peter B.; Chen, Lo-Chai. 1969. The predator-prey relationship between the octopus (octopus bimaculatus) and the california scorpionfish (scorpaena guttata)",172,PETER B. TAYLOR2 and LO-CHAI CHEN3,1969,NA
1987,Vermeer,"The relationship between plankton-feeding bonaparte's and mew gulls and tidal upwelling at active pass, british columbia","Vermeer, Kees; Szabo, Ddy; Greisman, Paul. 1987. The relationship between plankton-feeding bonaparte's and mew gulls and tidal upwelling at active pass, british columbia. Journal of Plankton Research. 9. 3. 483-501. https://doi.org/10.1093/plankt/9.3.483",407,Vermeer,1987,NA
NA,NA,"The reproductive biology of the california vermetid gastropods serpulorbis squamigerus (carpenter, 1857) and petaloconchus montereyensis (dall, 1919)","Hadfield, M. G. (1967). Reproductive biology of the California vermetid gastropods Serpulorbis squamigerus (Carpenter, 1857) and Petaloconchus montereyensis Dall, 1919. Stanford University.",110,Michael Gale Hadfield,1967,NA
1983,Marsh,The role of avian predators in an oregon rocky intertidal community,"Marsh, Christopher P. 1983. The role of avian predators in an oregon rocky intertidal community. Oregon State University",399,Marsh,1983,NA
1992,Kim,The role of drift kelp in the population ecology of a diopatra ornata moore (polychaeta: onuphidae) ecotone,"Kim, Stacy L.. 1992. The role of drift kelp in the population ecology of a diopatra ornata moore (polychaeta: onuphidae) ecotone. Journal of Experimental Marine Biology and Ecology. 156. 2. 253-272. 10.1016/0022-0981(92)90250-E",289,Diopatra ornata,1992,NA
2023,Schuster,The role of kelp availability and quality on the energetic state and thermal tolerance of sea urchin and gastropod grazers,"Schuster, Jasmin M.; Bates, Amanda E.. 2023. The role of kelp availability and quality on the energetic state and thermal tolerance of sea urchin and gastropod grazers. Journal of Experimental Marine Biology and Ecology. 569. 151947. 10.1016/j.jembe.2023.151947",NA,NA,NA,NA
2017,Dobkowski,The role of kelp crabs as consumers in bull kelp forests‚Äîevidence from laboratory feeding trials and field enclosures,"Dobkowski, Katie. 2017. The role of kelp crabs as consumers in bull kelp forests: evidence from laboratory feeding trials and field enclosures. PeerJ. 5. e3372. 10.7717/peerj.3372",328,Dobkowski,2017,NA
1988,Stebbins,The role of sea urchins in mediating fish predation on a commensal isopod (crustacea: isopoda),"Stebbins, Timothy D.. 1988. The role of sea urchins in mediating fish predation on a commensal isopod (crustacea: isopoda). Journal of Experimental Marine Biology and Ecology. 124. 2. 97-113. 10.1016/0022-0981(88)90114-1",10,Timothy D.Stebbinsab,1988,NA
2016,Dunne,The roles and impacts of human hunter-gatherers in north pacific marine food webs,"Dunne, Jennifer A.; Maschner, Herbert; Betts, Matthew W.; Huntly, Nancy; Russell, Roly; Williams, Richard J.; Wood, Spencer A.. 2016. The roles and impacts of human hunter-gatherers in north pacific marine food webs. Scientific Reports. 6. 1. 21179. 10.1038/srep21179",375,Dunne,2016,NA
2010,"Rudman, W. B.",The sea slug forum - chromodoris macfarlandi on aplysilla polyraphis,"Rudman, W. B. 2010. The sea slug forum - chromodoris macfarlandi on aplysilla polyraphis. http://www.seaslugforum.net/find/2499. Accessed 6/11/2024",NA,NA,NA,NA
2010,"Rudman, W. B.",The sea slug forum - sponge prey of chromodoris macfarlandi,"Rudman, W. B. 2010. The sea slug forum - sponge prey of chromodoris macfarlandi. http://www.seaslugforum.net/find/2561. Accessed 6/11/2024.",NA,NA,NA,NA
NA,NA,"The structure and life history of haplosporidium malacobdellae sp. nov., a new sporozoan from the entocommensal rhynchocoelan malacobdella grossa (of m√ºller)","Jennings, J. B., & Gibson, R. (1968). The structure and life history of Haplosporidium malacobdellae sp. Nov., a new sporozoan from the entocommensal rhynchocoelan Malacobdella grossa (0. F. MULLER)1). Archiv Für Protistenkunde, 111, 31–37.",57,"Jennings, J. B., and R. Gibson.",1968,NA
2004,Bousfield,The talitroidean amphipod family najnidae in the north pacific region: systematics and distributional ecology,"Bousfield, Edward Lloyd; Marcoux, Pierre. 2004. The talitroidean amphipod family najnidae in the north pacific region: systematics and distributional ecology. Amphipacifica: Journal of Systematic Biology. 3. 4. Mar-44",NA,NA,NA,NA
NA,NA,The trophic relationships between shorebirds and their prey,"Stenzel, L. E., G. W. Page and J. Young. (1983). The trophic relationships between shorebirds and their prey. Stinson Beach, CA: Point Reyes Bird Observ.",404,Stenzel,1983,"Stenzel, L. E., G. W. Page and J. Young. (1983). The trophic relationships between shorebirds and their prey. Stinson Beach, CA: Point Reyes Bird Observ."
1986,Molinski,Three new rearranged spongian diterpenes from chromodoris macfarlandi: reappraisal of the structures of dendrillolides a and b,"Molinski, Tadeusz F.; Faulkner, D. John; He, Cun Heng; Van Duyne, Gregory D.; Clardy, Jon. 1986. Three new rearranged spongian diterpenes from chromodoris macfarlandi: reappraisal of the structures of dendrillolides a and b. The Journal of Organic Chemistry. 51. 24. 4564-4567. 10.1021/jo00374a014",341,Molinski and Faulkner,1986,NA
2022,Negromonte,"Three new species of the genus cleantioides kensley and kaufman, 1978 (isopoda: valvifera) from brazil, with new record of the family holognathidae from brazil","Negromonte, Aurinete Oliveira; Lucatelli, Debora; Paiva, Ricardo José de Carvalho; Souza-Filho, Jesser F.. 2022. Three new species of the genus cleantioides kensley and kaufman, 1978 (isopoda: valvifera) from brazil, with new record of the family holognathidae from brazil. Journal of Natural History. 56. 13-16. 923‚Äì941. 10.1080/00222933.2022.2056538",426,NA,2022,NA
1954,Hand,"Three pacific species of ""lar"" (including a new species), their hosts, medusae, and relationships.","Hand, Cadet. 1954. Three pacific species of ""lar"" (including a new species), their hosts, medusae, and relationships.. Pacific Science. 8. 51-67",240,Cadet Hand,1954,NA
1961,Ching,Three trematodes from the harlequin duck,"Ching, Hilda Lei. 1961. Three trematodes from the harlequin duck. Canadian Journal of Zoology. 39. 3. 373-376. 10.1139/z61-041",NA,NA,NA,NA
2000,Ackerman,"Tidal influence on spatial dynamics of leopard sharks, triakis semifasciata, in tomales bay, california","Ackerman, Joshua T.; Kondratieff, Matthew C.; Matern, Scott A.; Cech, Joseph J.. 2000. Tidal influence on spatial dynamics of leopard sharks, triakis semifasciata, in tomales bay, california. Environmental Biology of Fishes. 58. 1. 33-43. 10.1023/A:1007657019696",112,"Joshua T. Ackerman, Matthew C. Kondratieff, Scott A. Matern & Joseph J. Cech, Jr.a",2000,NA
2015,Koenigs,Top predators rely on carbon derived from giant kelp macrocystis pyrifera,"Koenigs, Craig; Miller, Robert J.; Page, Henry M.. 2015. Top predators rely on carbon derived from giant kelp macrocystis pyrifera. Marine Ecology Progress Series. 537. 8-Jan. 10.3354/meps11467",89,"Craig Koenigs, Robert J. Miller*, Henry M. Page",2015,NA
1993,Setran,"Transitional ecological requirements for early juveniles of two sympatric stichaeid fishes,cebidichthys violaceus andxiphister mucosus","Setran, Aaron Carr; Behrens, David W.. 1993. Transitional ecological requirements for early juveniles of two sympatric stichaeid fishes,cebidichthys violaceus andxiphister mucosus. Environmental Biology of Fishes. 37. 4. 381-395. 10.1007/BF00005205",359,Setran and Behrens,1993,NA
NA,NA,Tringa semipalmata,"Dewey, T. 2009. ""Tringa semipalmata"" (On-line), Animal Diversity Web. Accessed May 29, 2024 at https://animaldiversity.org/accounts/Catoptrophorus_semipalmatus/",377,Dewey,2009,"Dewey, T. 2009. ""Tringa semipalmata"" (On-line), Animal Diversity Web. Accessed May 29, 2024 at https://animaldiversity.org/accounts/Catoptrophorus_semipalmatus/"
1996,Barry,"Trophic ecology of the dominant fishes in elkhorn slough, california, 1974‚Äì1980","Barry, James P.; Yoklavich, Mary M.; Cailliet, Gregor M.; Ambrose, David A.; Antrim, Brooke S.. 1996. Trophic ecology of the dominant fishes in elkhorn slough, california, 1974‚Äì1980. Estuaries. 19. 1. 115-138. 10.2307/1352657",115,"JAMESE BARRYt'2
MARYM. YOKLAVICH3
GRFGOR M. CAILIJET
DAVID A. AMBROSE4
BROOKE S. ANTRIM",1996,NA
1986,Miles,Turf assemblage of a macrocystis kelp forest: experiments on competition and herbivory,"Miles, A. Keith. 1986. Turf assemblage of a macrocystis kelp forest: experiments on competition and herbivory. Oregon State University",23,"Miles, A. Keith",1987,NA
2011,Nekhaev,Two species of parasitic molluscs new for russian seas,"Nekhaev, Ivan O.. 2011. Two species of parasitic molluscs new for russian seas. Ruthenica, Russian Malacological Journal. 21. 1",53,Ivan O. Nekhaev,2011,NA
2001,Gaymer,Use of prey resources by the seastars leptasterias polaris and asterias vulgaris: a comparison between field observations and laboratory experiments,"Gaymer, Carlos F; Himmelman, John H; Johnson, Ladd E. 2001. Use of prey resources by the seastars leptasterias polaris and asterias vulgaris: a comparison between field observations and laboratory experiments. Journal of Experimental Marine Biology and Ecology. 262. 1. 13-30. 10.1016/S0022-0981(01)00264-7",58,"Carlos F Gaymer, John H Himmelman, Ladd E Johnson",2001,NA
2004,Drolet,Use of refuges by the ophiuroid ophiopholis aculeata: contrasting effects of substratum complexity on predation risk from two predators,"Drolet, David; Himmelman, John H.; Rochette, Rémy. 2004. Use of refuges by the ophiuroid ophiopholis aculeata: contrasting effects of substratum complexity on predation risk from two predators. Marine Ecology Progress Series. 284. 173-183. 10.3354/meps284173",50,"David Drolet1, John H. Himmelman1,*, R√©my Rochette2",2004,NA
2011,Lannin,Variable prey density modifies the effects of seagrass habitat structure on predator‚àíprey interactions,"Lannin, Rachel; Hovel, Kevin. 2011. Variable prey density modifies the effects of seagrass habitat structure on predator‚àíprey interactions. Marine Ecology Progress Series. 442. 59-70. 10.3354/meps09393",92,"Rachel Lannin, Kevin Hovel*",2011,NA
2018,Hofmeister,"Variation in octopus bimaculatus verrill, 1883 diet as revealed through Œ¥13c and Œ¥15n stable isotope analysis: potential indirect effects of marine protected areas","Hofmeister, Jennifer K. K.. 2018. Variation in octopus bimaculatus verrill, 1883 diet as revealed through 13c and 15n stable isotope analysis: potential indirect effects of marine protected areas. American Malacological Bulletin. 36. 1. 96-108. 10.4003/006.036.0103",97,Jennifer K. K. Hofmeister,2018,NA
2005,Papastamatiou,Variations in gastric acid secretion during periods of fasting between two species of shark,"Papastamatiou, Yannis P.; Lowe, Christopher G.. 2005. Variations in gastric acid secretion during periods of fasting between two species of shark. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology. 141. 2. 210-214. 10.1016/j.cbpb.2005.05.041",124,"
Yannis P. PapastamatiouChristopher G. Lowe",2005,NA
1997,Ballard,"Vertical distribution, morphology and diet of proboscidactyla stellata (cnidaria: limnomedusae) in lough hyne marine nature reserve, co. Cork, ireland","Ballard, L.; Myers, A.. 1997. Vertical distribution, morphology and diet of proboscidactyla stellata (cnidaria: limnomedusae) in lough hyne marine nature reserve, co. Cork, ireland. Journal of the Marine Biological Association of the United Kingdom. 77. 4. 999-1009. 10.1017/S0025315400038583",239,Ballard and Myers,1997,NA
2007,Bachman,Viable algae released by the seastar dermasteriasimbricata feeding on the symbiotic sea anemone anthopleura elegantissima,"Bachman, Sarah; Muller-Parker, Gisèle. 2007. Viable algae released by the seastar dermasteriasimbricata feeding on the symbiotic sea anemone anthopleura elegantissima. Marine Biology. 150. 3. 369-375. 10.1007/s00227-006-0344-y",6,Sarah Bachman & Gis√®le Muller-Parker,2007,NA
2018,Zilz,"Wasted and castrated: two diseases affecting the ochre star, pisaster ochraceus, in north america","Zilz, Zoë. 2018. Wasted and castrated: two diseases affecting the ochre star, pisaster ochraceus, in north america. WWU Graduate School Collection. https://doi.org/10.25710/15e0-cg55",29,Zoe Zilz-- haha it's your thesis paper from WWU!,2018,NA
NA,NA,"Western gull (larus occidentalis), version 2.0. In birds of the world","Pierotti, R.J., C. A. Annett, S. A. Shaffer, and D. M. Devincenzi (2024). Western Gull (Larus occidentalis), version 2.0. In Birds of the World (N. D. Sly and B. K. Keeney, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.wesgul.02",419,Pierotti,2024,
2015,Sander,What can interaction webs tell us about species roles?,"Sander, Elizabeth L.; Wootton, J. Timothy; Allesina, Stefano. 2015. What can interaction webs tell us about species roles?. PLOS Computational Biology. 11. 7. e1004330. 10.1371/journal.pcbi.1004330",385,Sander,2015,NA
NA,NA,Whelks to whales: coastal marine life of the pacific northwest,"Harbo, R. M. (2022). Whelks to Whales: Coastal Marine Life of the Pacific Northwest (3rd ed.). Harbour Publishing. https://www.scribd.com/book/585829007/Whelks-to-Whales-Coastal-Marine-Life-of-the-Pacific-Northwest-Newly-Revised-and-expanded-Third-edition",214,David Leighton and Richard A. Boolootian,1963,12/20/2023 12:14PM
1984,Harvell,Why nudibranchs are partial predators: intracolonial variation in bryozoan palatability,"Harvell, Drew. 1984. Why nudibranchs are partial predators: intracolonial variation in bryozoan palatability. Ecology. 65. 3. 716-724. 10.2307/1938043",211,Drew Harvell,1984,12/20/2023 12:14PM
